DIFFERENTIAL_TIME,PPW
70884050,4532
70884055,4546
70884060,4655
70884065,4437
70884070,4355
70884075,4328
70884080,4233
70884085,4138
70884090,4219
70884095,4015
70884100,4070
70884105,4002
70884110,3975
70884115,3866
70884120,3838
70884125,3757
70884130,3757
70884135,3688
70884141,3634
70884146,3593
70884151,3661
70884156,3647
70884160,3702
70884165,3647
70884170,3511
70884175,3552
70884180,3471
70884185,3416
70884190,3334
70884195,3158
70884200,2927
70884205,2872
70884210,2614
70884215,2437
70884220,2246
70884224,2002
70884229,1825
70884234,1566
70884239,1322
70884244,1158
70884250,1022
70884256,845
70884263,805
70884269,764
70884274,778
70884279,696
70884284,601
70884289,655
70884294,764
70884299,641
70884303,628
70884308,696
70884313,574
70884318,614
70884323,519
70884328,546
70884333,317
70884338,222
70884344,100
70884349,86
70884354,-49
70884359,-239
70884364,-198
70884369,-403
70884374,-416
70884379,-539
70884383,-675
70884388,-729
70884393,-715
70884398,-878
70884403,-988
70884408,-1055
70884413,-1178
70884418,-1300
70884423,-1436
70884428,-1355
70884433,-1545
70884438,-1749
70884443,-1763
70884448,-1912
70884453,-1926
70884458,-2062
70884462,-2089
70884467,-2348
70884472,-2307
70884477,-2402
70884482,-2416
70884487,-2524
70884492,-2660
70884497,-2783
70884502,-2783
70884507,-2960
70884512,-2919
70884517,-3014
70884522,-2987
70884527,-3109
70884532,-3341
70884537,-3395
70884542,-3381
70884547,-3545
70884552,-3653
70884557,-3585
70884562,-3776
70884567,-3762
70884572,-3749
70884577,-3885
70884582,-3898
70884587,-3885
70884592,-3912
70884597,-3980
70884602,-4061
70884607,-4075
70884612,-4075
70884617,-4116
70884621,-4089
70884626,-4102
70884631,-4075
70884636,-4156
70884641,-4211
70884646,-4333
70884651,-4347
70884656,-4483
70884661,-4483
70884666,-4496
70884671,-4646
70884676,-4769
70884681,-4741
70884686,-4864
70884691,-4877
70884696,-4959
70884701,-5081
70884705,-5217
70884710,-5299
70884715,-5421
70884720,-5462
70884725,-5666
70884730,-5226
70884735,-5335
70884741,-5539
70884746,-5634
70884751,-5715
70884756,-5797
70884761,-5811
70884766,-5838
70884771,-5852
70884776,-5539
70884781,-5090
70884785,-4546
70884790,-3866
70884795,-2819
70884800,-1921
70884805,-874
70884810,159
70884815,1002
70884820,1723
70884825,2525
70884830,2920
70884835,3301
70884840,3491
70884845,3736
70884850,3899
70884855,3926
70884860,3967
70884864,4049
70884869,3940
70884874,4049
70884879,3913
70884884,3831
70884889,3736
70884894,3668
70884899,3423
70884904,3491
70884909,3355
70884914,3274
70884919,3219
70884925,3124
70884930,3035
70884935,2912
70884940,2899
70884944,2831
70884949,2885
70884954,2763
70884959,2790
70884964,2708
70884969,2654
70884974,2640
70884979,2572
70884984,2572
70884989,2586
70884994,2532
70884999,2613
70885004,2586
70885009,2423
70885014,2341
70885019,2137
70885023,2069
70885028,1946
70885033,1688
70885038,1375
70885043,1321
70885048,1171
70885053,1022
70885058,668
70885063,573
70885068,532
70885073,396
70885078,369
70885083,233
70885088,328
70885093,315
70885098,219
70885102,287
70885107,315
70885112,328
70885117,246
70885123,219
70885128,195
70885133,32
70885138,59
70885143,-62
70885148,-21
70885153,-266
70885158,-157
70885163,-239
70885168,-320
70885173,-402
70885178,-348
70885182,-470
70885187,-593
70885192,-715
70885197,-919
70885202,-905
70885207,-1041
70885212,-1123
70885217,-1191
70885222,-1232
70885227,-1449
70885232,-1368
70885237,-1572
70885242,-1531
70885247,-1654
70885252,-1708
70885257,-1844
70885261,-1912
70885266,-1966
70885271,-2102
70885276,-2170
70885281,-2347
70885286,-2320
70885291,-2388
70885296,-2483
70885301,-2538
70885306,-2646
70885311,-2578
70885316,-2810
70885322,-2837
70885327,-2984
70885332,-3079
70885337,-2971
70885341,-3134
70885346,-3215
70885351,-3243
70885356,-3215
70885361,-3338
70885366,-3324
70885371,-3406
70885376,-3488
70885381,-3555
70885386,-3555
70885391,-3623
70885396,-3610
70885401,-3692
70885406,-3773
70885411,-3800
70885416,-3814
70885420,-3800
70885425,-3759
70885430,-3882
70885435,-3896
70885440,-3964
70885445,-3923
70885450,-4032
70885455,-4127
70885460,-4004
70885465,-4127
70885470,-4181
70885475,-4222
70885480,-4290
70885484,-4440
70885489,-4413
70885494,-4494
70885499,-4535
70885504,-4589
70885509,-4657
70885514,-4834
70885519,-4875
70885525,-4332
70885530,-4550
70885535,-4550
70885540,-4767
70885545,-4849
70885550,-4971
70885555,-5012
70885560,-5230
70885564,-5284
70885569,-5284
70885574,-5366
70885579,-5257
70885584,-5135
70885589,-4822
70885594,-4264
70885599,-3638
70885604,-2713
70885609,-1693
70885614,-687
70885619,414
70885624,1380
70885629,2128
70885634,2794
70885639,3270
70885643,3719
70885648,4114
70885653,4236
70885658,4345
70885663,4522
70885668,4617
70885673,4576
70885678,4549
70885683,4604
70885688,4522
70885693,4481
70885698,4413
70885703,4481
70885708,4386
70885713,4263
70885718,4223
70885723,4076
70885728,4089
70885733,3953
70885738,3899
70885743,3940
70885748,3817
70885753,3872
70885758,3763
70885763,3831
70885768,3736
70885773,3749
70885778,3736
70885783,3654
70885788,3613
70885793,3572
70885798,3586
70885802,3641
70885807,3613
70885812,3505
70885817,3545
70885822,3477
70885827,3491
70885832,3437
70885837,3260
70885842,3028
70885847,2879
70885852,2688
70885857,2525
70885862,2226
70885867,2049
70885872,1859
70885877,1750
70885881,1491
70885886,1369
70885891,1315
70885896,1070
70885901,975
70885906,1002
70885911,988
70885916,920
70885922,845
70885927,790
70885932,804
70885937,777
70885942,750
70885947,777
70885952,641
70885957,668
70885961,654
70885966,614
70885971,627
70885976,423
70885981,410
70885986,355
70885991,246
70885996,192
70886001,42
70886006,42
70886011,-93
70886016,-120
70886021,-242
70886026,-283
70886031,-419
70886036,-460
70886041,-501
70886045,-664
70886050,-773
70886055,-841
70886060,-909
70886065,-1058
70886070,-1167
70886075,-1222
70886080,-1289
70886085,-1439
70886090,-1575
70886095,-1602
70886100,-1752
70886105,-1793
70886110,-1942
70886115,-2051
70886120,-2067
70886125,-2271
70886130,-2230
70886135,-2420
70886140,-2407
70886145,-2434
70886150,-2502
70886155,-2543
70886160,-2652
70886165,-2815
70886170,-2733
70886175,-2951
70886180,-2896
70886185,-2937
70886190,-3046
70886195,-3032
70886200,-3168
70886204,-3223
70886209,-3141
70886214,-3182
70886219,-3155
70886224,-3291
70886229,-3386
70886234,-3481
70886239,-3427
70886244,-3427
70886249,-3508
70886254,-3563
70886259,-3536
70886264,-3603
70886269,-3713
70886274,-3753
70886279,-3794
70886283,-3848
70886288,-3903
70886293,-4039
70886298,-3984
70886303,-4093
70886308,-4243
70886313,-4216
70886318,-3891
70886324,-4013
70886329,-4067
70886334,-4163
70886339,-4326
70886344,-4380
70886349,-4517
70886354,-4666
70886359,-4625
70886363,-4788
70886368,-4965
70886373,-5115
70886378,-5156
70886383,-5265
70886388,-5292
70886393,-5142
70886398,-5142
70886403,-4979
70886408,-4517
70886413,-4000
70886418,-3320
70886423,-2327
70886428,-1348
70886433,-273
70886438,787
70886442,1739
