DIFFERENTIAL_TIME,PPW
77851581,-3949
77851586,-3936
77851591,-3882
77851596,-3775
77851601,-3478
77851606,-3223
77851611,-2752
77851616,-2173
77851621,-1595
77851626,-895
77851631,-142
77851636,637
77851641,1256
77851646,1996
77851650,2521
77851655,3126
77851660,3544
77851665,4028
77851670,4176
77851675,4459
77851680,4566
77851685,4728
77851690,4822
77851695,4970
77851700,5010
77851705,4849
77851710,4809
77851715,4890
77851720,4795
77851725,4661
77851730,4621
77851735,4432
77851740,4419
77851745,4203
77851750,4096
77851755,4109
77851760,3867
77851765,3746
77851770,3611
77851774,3652
77851779,3369
77851784,3208
77851789,3060
77851794,3073
77851799,2817
77851804,2710
77851809,2481
77851814,2333
77851819,2158
77851824,1943
77851829,1687
77851834,1432
77851839,1216
77851844,907
77851849,732
77851853,503
77851858,221
77851863,221
77851868,73
77851873,-34
77851878,-155
77851883,-128
77851888,-169
77851893,-169
77851898,-263
77851903,-264
77851908,-224
77851913,-49
77851918,-62
77851923,84
77851928,-62
77851933,71
77851938,125
77851943,98
77851948,152
77851953,138
77851958,138
77851963,179
77851968,111
77851972,152
77851977,125
77851982,-9
77851987,31
77851992,-130
77851997,-197
77852002,-237
77852007,-291
77852012,-426
77852017,-574
77852022,-628
77852027,-802
77852031,-802
77852036,-883
77852041,-1193
77852046,-1125
77852051,-1287
77852056,-1462
77852061,-1462
77852066,-1596
77852071,-1852
77852076,-1838
77852081,-2027
77852086,-2081
77852090,-2148
77852095,-2135
77852100,-2386
77852105,-2439
77852111,-2601
77852116,-2682
77852121,-2695
77852126,-2708
77852131,-2897
77852136,-2883
77852141,-2951
77852146,-3126
77852150,-3153
77852155,-3274
77852160,-3260
77852165,-3381
77852170,-3476
77852175,-3556
77852180,-3637
77852185,-3731
77852190,-3731
77852195,-3745
77852200,-3987
77852205,-4081
77852210,-3933
77852214,-4068
77852219,-4108
77852224,-4135
77852229,-4068
77852234,-3946
77852239,-3772
77852244,-3543
77852249,-3032
77852254,-2561
77852259,-1995
77852264,-1228
77852269,-556
77852274,129
77852279,896
77852284,1502
77852289,2201
77852294,2807
77852299,3110
77852304,3446
77852309,3836
77852314,4159
77852319,4280
77852324,4374
77852329,4590
77852334,4590
77852339,4644
77852344,4576
77852349,4644
77852353,4563
77852358,4603
77852363,4469
77852368,4321
77852373,4294
77852378,4186
77852383,4092
77852388,3984
77852393,3917
77852398,3769
77852403,3567
77852408,3433
77852412,3271
77852417,3110
77852422,2948
77852427,3002
77852432,2773
77852437,2585
77852442,2370
77852447,2289
77852452,1966
77852457,1764
77852462,1549
77852467,1267
77852471,1011
77852476,742
77852481,540
77852486,325
77852492,83
77852497,-20
77852502,-154
77852507,-343
77852512,-437
77852517,-491
77852522,-464
77852527,-585
77852531,-571
77852536,-558
77852541,-531
77852546,-504
77852551,-491
77852556,-450
77852561,-370
77852566,-356
77852571,-370
77852576,-302
77852581,-195
77852586,-275
77852590,-289
77852595,-222
77852600,-235
77852605,-275
77852610,-208
77852615,-316
77852620,-397
77852625,-356
77852630,-531
77852635,-518
77852640,-571
77852645,-787
77852650,-800
77852655,-881
77852660,-1042
77852665,-1217
77852670,-1177
77852674,-1406
77852679,-1419
77852684,-1554
77852689,-1769
77852695,-1759
77852700,-2015
77852705,-2109
77852710,-2203
77852715,-2365
77852720,-2365
77852725,-2540
77852730,-2553
77852734,-2688
77852739,-2863
77852744,-2930
77852749,-3024
77852754,-3078
77852759,-3226
77852764,-3213
77852769,-3388
77852774,-3468
77852779,-3616
77852784,-3603
77852789,-3670
77852793,-3683
77852798,-3724
77852803,-3858
77852808,-3899
77852813,-3993
77852818,-4033
77852823,-4074
77852828,-4141
77852833,-4181
77852838,-4248
77852843,-4289
77852848,-4356
77852853,-4450
77852858,-4464
77852863,-4558
77852868,-4598
77852872,-4585
77852877,-4572
77852882,-4504
77852887,-4397
77852893,-3932
77852898,-3690
77852903,-3084
77852908,-2371
77852912,-1739
77852917,-985
77852922,-97
77852927,749
77852932,1570
77852937,2176
77852942,2929
77852947,3494
77852952,3885
77852957,4302
77852962,4598
77852967,4840
77852971,5042
77852976,5284
77852981,5176
77852986,5297
77852991,5338
77852996,5297
77853001,5378
77853006,5257
77853011,5163
77853016,5203
77853021,5096
77853026,5028
77853031,4894
77853035,4826
77853040,4679
77853045,4598
77853050,4530
77853055,4410
77853060,4248
77853065,4113
77853070,3992
77853075,3790
77853080,3737
77853085,3615
77853090,3377
77853095,3175
77853100,3014
77853105,2812
77853110,2664
77853115,2489
77853120,2288
77853125,2019
77853130,1736
77853135,1534
77853140,1305
77853145,1171
77853150,902
77853155,781
77853160,552
77853165,498
77853170,458
77853174,269
77853179,215
77853184,229
77853189,121
77853194,121
77853199,175
77853204,296
77853209,189
77853214,323
77853219,323
77853224,350
77853229,431
77853233,377
77853238,404
77853243,390
77853248,458
77853253,390
77853258,350
77853263,242
77853268,323
77853273,162
77853278,81
77853285,-23
77853291,-76
77853298,-184
77853303,-198
77853308,-278
77853313,-520
77853318,-628
77853323,-682
77853328,-911
77853333,-884
77853338,-1099
77853343,-1139
77853348,-1327
77853353,-1422
77853358,-1462
77853363,-1704
77853368,-1718
77853372,-1973
77853377,-2041
77853382,-2108
77853387,-2189
77853392,-2296
77853397,-2404
77853402,-2512
77853407,-2566
77853411,-2538
77853416,-2740
77853421,-2808
77853426,-2902
77853431,-2996
77853436,-3023
77853441,-3158
77853446,-3158
77853451,-3238
77853456,-3252
77853461,-3319
77853466,-3373
77853471,-3453
77853475,-3453
77853480,-3615
77853485,-3607
77853490,-3620
77853496,-3620
77853501,-3727
77853506,-3808
77853511,-3902
77853516,-3929
77853521,-4024
77853526,-4104
77853531,-4131
77853536,-4104
77853541,-4091
77853546,-4091
77853551,-3929
77853555,-3620
77853560,-3311
77853565,-2813
77853570,-2247
77853575,-1602
77853580,-862
77853585,-108
77853590,711
77853595,1492
77853600,2124
77853605,2770
77853610,3268
77853614,3820
77853619,4210
77853624,4492
77853629,4694
77853634,4815
77853639,4963
77853644,5152
77853649,5179
77853654,5286
77853659,5219
77853664,5138
77853669,5152
77853673,5125
77853678,5098
77853683,4889
77853688,4849
77853694,4728
77853699,4675
77853704,4513
77853709,4378
77853714,4271
77853719,4136
77853724,4096
77853729,3907
77853733,3800
77853738,3625
77853743,3490
77853748,3369
77853753,3235
77853758,3020
77853763,2845
77853768,2777
77853773,2535
77853778,2387
77853783,2078
77853788,1862
77853793,1701
77853798,1405
77853803,1136
77853808,1055
77853812,974
77853817,692
77853822,598
77853827,463
77853832,409
77853837,369
77853842,301
77853847,301
77853852,301
77853857,221
77853862,369
77853867,301
77853871,409
77853876,490
77853881,340
77853886,447
77853892,420
77853897,501
77853902,461
77853907,461
77853912,487
77853917,487
77853922,474
77853927,340
77853931,367
77853936,165
77853941,205
77853946,138
77853951,44
77853956,-50
77853961,-184
77853966,-265
77853971,-373
77853976,-494
77853981,-494
77853986,-776
77853991,-763
77853995,-897
77854000,-1018
77854005,-1072
77854010,-1139
77854015,-1247
77854020,-1436
77854025,-1503
77854030,-1570
77854035,-1732
77854040,-1812
77854045,-1920
77854050,-2014
77854054,-2122
77854059,-2203
77854064,-2283
77854069,-2323
77854075,-2472
77854080,-2515
77854085,-2542
77854090,-2690
77854095,-2744
77854100,-2797
77854105,-2865
77854110,-2959
77854114,-2905
77854119,-3053
77854124,-3093
77854129,-3120
77854134,-3161
77854139,-3282
77854144,-3295
77854149,-3322
77854154,-3443
77854159,-3430
77854164,-3564
77854169,-3551
77854174,-3645
77854179,-3753
77854184,-3739
77854189,-3618
77854193,-3510
77854198,-3390
77854203,-3080
77854208,-2690
77854213,-2205
77854218,-1573
77854223,-941
77854228,-335
77854233,390
77854238,1171
77854243,1897
77854248,2328
77854252,2879
77854257,3283
77854262,3727
77854267,4050
77854273,4359
77854278,4370
77854283,4545
77854288,4626
77854293,4720
77854298,4774
77854303,4787
77854308,4666
77854312,4585
77854317,4680
77854322,4491
77854327,4357
77854332,4357
77854337,4262
77854342,4061
77854347,3940
77854352,3899
77854357,3711
77854362,3563
77854367,3428
77854371,3240
77854376,3105
77854381,2984
77854386,2917
77854391,2688
77854396,2486
77854401,2325
77854406,2204
77854411,1989
77854416,1679
77854421,1504
77854426,1249
77854431,1020
77854435,818
77854440,670
77854445,374
77854450,293
77854455,65
77854460,-69
77854465,-83
77854470,-177
77854476,-117
77854481,-184
77854486,-144
77854491,-157
77854495,-103
77854500,-50
77854505,-171
77854510,30
77854515,-9
77854520,124
77854525,84
77854530,178
77854535,111
77854540,138
77854545,218
77854550,97
77854555,124
77854560,111
77854565,71
77854570,30
77854574,-9
77854579,-103
77854584,-77
77854589,-184
77854594,-265
77854599,-359
77854604,-480
77854609,-507
77854614,-601
77854619,-749
77854624,-817
77854629,-951
77854633,-1059
77854638,-1207
77854643,-1274
77854648,-1314
77854653,-1530
77854658,-1638
77854663,-1812
77854668,-1880
77854674,-2055
77854679,-2081
77854684,-2189
77854689,-2283
77854693,-2405
77854698,-2472
77854703,-2606
77854708,-2633
77854713,-2754
77854718,-2835
77854723,-2889
77854728,-2956
77854733,-3064
77854738,-3090
77854743,-3104
77854748,-3185
77854752,-3292
77854757,-3333
77854762,-3400
77854767,-3373
77854772,-3535
77854777,-3467
77854782,-3629
77854787,-3656
77854792,-3723
77854797,-3723
77854802,-3750
77854807,-3817
77854811,-3938
77854816,-4059
77854821,-3992
77854826,-4059
77854831,-4113
77854836,-3979
77854841,-3777
77854846,-3494
77854851,-3050
77854856,-2566
77854861,-2014
77854866,-1288
77854871,-434
77854876,359
77854881,1166
77854886,1785
77854891,2552
77854896,3023
77854901,3494
77854906,3884
77854911,4234
77854916,4530
77854921,4678
77854926,4840
77854931,4947
77854935,5068
77854940,5122
77854945,5163
77854950,5055
77854955,5015
77854960,4961
77854965,5028
77854970,4746
77854975,4746
77854980,4759
77854985,4463
77854990,4382
77854994,4302
77854999,4207
77855004,4100
77855009,3871
77855014,3831
77855019,3750
77855024,3575
77855029,3548
77855034,3373
77855039,3144
77855044,3077
77855049,2942
77855054,2741
77855059,2552
77855064,2324
77855069,2112
77855074,1923
77855079,1627
77855084,1493
77855089,1210
77855094,1075
77855099,901
77855104,712
77855109,659
77855114,510
77855119,282
77855124,295
77855129,295
77855133,322
77855138,188
77855143,201
77855148,241
77855153,309
77855158,335
77855163,335
77855168,497
77855173,362
77855178,470
77855183,524
77855188,537
77855192,443
77855197,376
77855202,470
77855207,430
77855212,322
77855217,309
77855222,282
77855227,201
77855232,134
77855237,66
77855242,-54
77855247,-202
77855251,-269
77855256,-336
77855261,-404
77855266,-550
77855272,-657
77855277,-752
77855282,-846
77855287,-967
77855292,-1115
77855297,-1223
77855302,-1276
77855307,-1492
77855311,-1586
77855316,-1626
77855321,-1734
77855326,-1949
77855331,-1936
77855336,-2070
77855341,-2138
77855346,-2218
77855351,-2326
77855356,-2393
77855361,-2487
77855366,-2622
77855370,-2729
77855375,-2783
77855380,-2851
77855385,-2824
77855390,-2931
77855395,-3053
77855400,-3120
77855405,-3106
77855410,-3214
77855415,-3268
77855420,-3281
77855425,-3389
77855430,-3443
77855434,-3456
77855439,-3523
77855444,-3429
77855449,-3644
77855454,-3698
77855459,-3685
77855464,-3764
77855469,-3831
77855475,-3858
77855480,-3871
77855485,-3858
77855490,-3818
77855495,-3656
77855500,-3427
77855505,-3158
77855510,-2674
77855514,-2122
77855519,-1436
77855526,-696
77855532,29
77855539,1658
77855544,2183
77855549,3003
77855554,3367
77855559,3864
77855564,4268
77855569,4578
77855573,4847
77855578,5035
77855583,5129
77855588,5264
77855593,5291
77855598,5304
77855603,5398
77855608,5371
77855613,5452
77855618,5304
77855623,5277
77855628,5318
77855633,5183
77855638,5089
77855643,4874
77855648,4793
77855652,4699
77855657,4551
77855662,4477
77855667,4316
77855673,4195
77855678,4060
77855683,3993
