DIFFERENTIAL_TIME,PPW
5091733,1150
5091738,1150
5091743,927
5091748,914
5091753,1084
5091758,1058
5091763,1005
5091768,888
5091773,743
5091778,1110
5091783,979
5091788,835
5091793,783
5091798,520
5091802,704
5091807,769
5091812,560
5091817,455
5091822,376
5091827,311
5091832,402
5091837,153
5091842,88
5091846,62
5091851,88
5091856,9
5091861,-121
5091866,-42
5091871,-291
5091876,-200
5091881,-252
5091886,-200
5091891,-397
5091896,-436
5091901,-632
5091905,-541
5091910,-659
5091915,-593
5091920,-541
5091926,-763
5091931,-959
5091936,-867
5091941,-972
5091946,-841
5091951,-920
5091956,-972
5091961,-1051
5091965,-1077
5091970,-1064
5091975,-1156
5091980,-1287
5091985,-1287
5091990,-1392
5091995,-1339
5092000,-1274
5092005,-1352
5092010,-1339
5092015,-1431
5092020,-1457
5092025,-1510
5092030,-1641
5092035,-1510
5092040,-1720
5092044,-1601
5092049,-1825
5092054,-1680
5092059,-1706
5092064,-1811
5092069,-1825
5092074,-1955
5092079,-1916
5092084,-2100
5092089,-2021
5092094,-2139
5092099,-2191
5092103,-2178
5092108,-2047
5092113,-2323
5092118,-2506
5092124,-2441
5092129,-2522
5092134,-2508
5092139,-2613
5092144,-2469
5092149,-2666
5092154,-2653
5092159,-2482
5092163,-2627
5092168,-2757
5092173,-2692
5092178,-2574
5092183,-2718
5092188,-2613
5092193,-2246
5092198,-1945
5092203,-1748
5092208,-1355
5092213,-699
5092218,-372
5092223,113
5092228,807
5092233,1017
5092238,1384
5092243,1463
5092248,2014
5092253,2381
5092258,2394
5092262,2564
5092267,2761
5092272,2800
5092277,2840
5092282,2997
5092287,2971
5092292,3023
5092297,3010
5092302,3076
5092306,3207
5092311,3089
5092316,3128
5092322,3102
5092327,2976
5092332,3002
5092337,3120
5092342,3212
5092347,2963
5092352,3133
5092357,3146
5092362,3133
5092366,3422
5092371,3081
5092376,3278
5092381,3186
5092386,3042
5092391,3251
5092396,3160
5092401,3186
5092406,3369
5092411,3068
5092416,3317
5092421,2976
5092425,2911
5092430,2701
5092435,2543
5092440,2504
5092445,2478
5092450,2242
5092455,2032
5092460,1770
5092465,1757
5092470,1626
5092475,1416
5092480,1377
5092485,1429
5092490,1128
5092495,1036
5092500,1049
5092504,1023
5092509,944
5092514,983
5092519,983
5092525,1012
5092530,1012
5092535,1025
5092540,750
5092545,776
5092550,894
5092555,973
5092560,723
5092564,881
5092569,802
5092574,501
5092579,566
5092584,461
5092589,422
5092594,540
5092599,370
5092604,461
5092609,291
5092614,370
5092619,160
5092623,16
5092628,160
5092633,-141
5092638,-232
5092643,120
5092649,-259
5092655,-351
5092661,-429
5092667,-665
5092673,-416
5092678,-442
5092683,-600
5092687,-560
5092692,-626
5092697,-691
5092702,-888
5092707,-849
5092712,-940
5092717,-757
5092722,-1162
5092728,-874
5092733,-1096
5092738,-1057
5092743,-1031
5092748,-1188
5092753,-1280
5092758,-1280
5092763,-1332
5092767,-1201
5092772,-1267
5092777,-1214
5092782,-1608
5092787,-1424
5092792,-1411
5092797,-1503
5092802,-1437
5092807,-1594
5092812,-1765
5092817,-1608
5092822,-1621
5092827,-1634
5092832,-1909
5092837,-1975
5092842,-1922
5092846,-1870
5092851,-1857
5092856,-1962
5092861,-2132
5092866,-2014
5092871,-2289
5092876,-2237
5092881,-2237
5092885,-2224
5092890,-2211
5092895,-2342
5092900,-2394
5092905,-2316
5092910,-2591
5092915,-2434
5092920,-2537
5092926,-2669
5092931,-2367
5092936,-2708
5092941,-2944
5092946,-2616
5092951,-2918
5092956,-2931
5092961,-3062
5092965,-2905
5092970,-2892
5092975,-2957
5092980,-2800
5092985,-2537
5092990,-2223
5092995,-2118
5093000,-1594
5093005,-1174
5093010,-597
5093015,-73
5093020,267
5093025,778
5093029,1002
5093034,1749
5093039,1775
5093044,1893
5093049,1854
5093054,1985
5093059,2286
5093064,2417
5093069,2522
5093074,2667
5093079,2627
5093083,2575
5093088,2562
5093093,2614
5093098,2653
5093103,2745
5093108,2772
5093113,2902
5093118,2715
5093124,2794
5093129,2702
