DIFFERENTIAL_TIME,PPW
1488551,439
1488556,387
1488561,360
1488566,320
1488571,294
1488576,215
1488580,136
1488585,215
1488590,136
1488595,202
1488600,215
1488605,294
1488610,215
1488615,254
1488620,188
1488625,202
1488630,136
1488635,268
1488639,241
1488644,228
1488649,241
1488654,228
1488659,254
1488664,241
1488669,188
1488674,215
1488679,307
1488684,228
1488689,149
1488694,175
1488699,123
1488704,123
1488709,30
1488714,43
1488719,3
1488724,-9
1488729,-88
1488734,-88
1488739,-75
1488744,-83
1488749,-70
1488754,-97
1488759,-136
1488764,-70
1488769,-150
1488774,-216
1488779,-176
1488784,-255
1488789,-242
1488794,-347
1488798,-282
1488803,-347
1488808,-308
1488813,-295
1488818,-374
1488823,-387
1488828,-467
1488833,-546
1488838,-480
1488843,-467
1488848,-585
1488853,-506
1488858,-519
1488863,-585
1488868,-506
1488873,-625
1488877,-585
1488882,-612
1488887,-625
1488892,-651
1488897,-612
1488902,-651
1488907,-572
1488912,-612
1488917,-678
1488922,-651
1488927,-744
1488932,-731
1488938,-796
1488943,-819
1488948,-819
1488953,-780
1488957,-819
1488962,-872
1488967,-846
1488972,-819
1488977,-898
1488982,-806
1488987,-872
1488992,-780
1488997,-819
1489002,-661
1489007,-502
1489012,-595
1489017,-265
1489022,-238
1489027,-40
1489032,51
1489037,236
1489041,368
1489046,487
1489051,672
1489056,738
1489061,844
1489066,989
1489071,1094
1489076,1121
1489081,1134
1489086,1174
1489091,1200
1489096,1266
1489101,1266
1489106,1121
1489111,1279
1489116,1226
1489120,1240
1489125,1240
1489130,1319
1489135,1279
1489141,1280
1489146,1214
1489151,1201
1489156,1122
1489161,1214
1489166,1161
1489171,1148
1489176,1174
1489181,1003
1489186,1029
1489191,1056
1489196,923
1489200,1042
1489205,989
1489210,871
1489215,950
1489220,818
1489225,818
1489230,792
1489235,739
1489240,646
1489245,633
1489250,567
1489255,474
1489260,369
1489265,382
1489270,567
1489275,554
1489279,343
1489284,395
1489289,514
1489294,382
1489299,461
1489304,488
1489309,541
1489314,448
1489319,474
1489324,488
1489329,474
1489334,474
