DIFFERENTIAL_TIME,PPW
71323155,-304
71323160,-400
71323165,-359
71323170,-441
71323175,-577
71323180,-536
71323185,-550
71323190,-659
71323195,-618
71323200,-700
71323205,-728
71323210,-755
71323215,-974
71323220,-892
71323225,-823
71323230,-892
71323235,-1042
71323240,-1096
71323244,-1124
71323249,-1137
71323254,-1219
71323259,-1370
71323264,-1479
71323269,-1411
71323274,-1615
71323279,-1684
71323284,-1807
71323289,-1889
71323294,-2066
71323299,-2053
71323304,-2285
71323309,-2176
71323314,-2394
71323319,-2408
71323323,-2490
71323328,-2626
71323333,-2626
71323338,-2599
71323343,-2654
71323348,-2695
71323353,-2749
71323358,-2872
71323364,-2872
71323369,-2551
71323374,-2661
71323379,-2838
71323384,-2825
71323389,-2797
71323394,-2961
71323399,-2989
71323403,-3043
71323408,-2948
71323413,-3057
71323418,-3125
71323423,-3221
71323428,-3166
71323433,-3357
71323438,-3344
71323443,-3467
71323448,-3385
71323453,-3494
71323458,-3576
71323462,-3630
71323467,-3685
71323472,-3672
71323477,-3835
71323482,-3794
71323487,-3863
71323492,-3931
71323497,-3972
71323502,-3958
71323507,-4040
71323512,-4040
71323517,-4054
71323522,-4204
71323527,-4081
71323532,-4177
71323537,-4245
71323541,-4204
71323546,-4341
71323551,-4314
71323556,-4368
71323562,-4395
71323567,-3953
71323572,-4103
71323577,-4117
71323582,-4075
71323587,-4171
71323592,-4308
71323597,-4335
71323602,-4335
71323607,-4431
71323612,-4472
71323617,-4594
71323621,-4581
71323626,-4649
71323631,-4881
71323636,-4868
71323641,-4909
71323646,-4977
71323651,-5059
71323656,-5127
71323661,-5141
71323666,-5291
71323671,-5209
71323676,-5045
71323681,-4759
71323686,-4404
71323691,-3953
71323696,-3352
71323700,-2655
71323705,-1863
71323710,-1057
71323715,-210
71323720,431
71323725,1237
71323730,1797
71323735,2330
71323740,2672
71323745,3013
71323750,3300
71323755,3437
71323761,3669
71323766,3678
71323771,3815
71323776,3883
71323780,3869
71323785,3787
71323790,3787
71323795,3733
71323800,3746
71323805,3719
71323810,3501
71323815,3541
71323820,3541
71323825,3405
71323830,3350
71323835,3255
71323840,3131
71323845,3173
71323850,3036
71323855,3050
71323860,2968
71323864,2845
71323869,2886
71323874,2804
71323879,2804
71323884,2722
71323889,2763
71323894,2681
71323899,2626
71323904,2626
71323909,2653
71323914,2449
71323919,2421
71323923,2490
71323928,2408
71323933,2134
71323938,2093
71323943,1916
71323948,1779
71323953,1629
71323958,1547
71323964,1291
71323969,1031
71323974,1031
71323979,854
71323984,690
71323989,690
71323994,635
71323999,553
71324003,540
71324008,444
71324013,471
71324018,430
71324023,348
71324028,416
71324035,321
71324041,294
71324048,266
71324053,198
71324058,225
71324063,239
71324068,20
71324073,116
71324078,34
71324082,-74
71324087,-184
71324092,-184
71324097,-184
71324102,-307
71324107,-293
71324112,-525
71324117,-525
71324122,-662
71324127,-703
71324132,-812
71324137,-812
71324142,-990
71324147,-1058
71324152,-1222
71324157,-1276
71324162,-1450
71324167,-1491
71324172,-1491
71324177,-1573
71324182,-1628
71324187,-1737
71324192,-1696
71324197,-1928
71324202,-1942
71324207,-1942
71324212,-2010
71324217,-2092
71324222,-2229
71324227,-2297
71324232,-2420
71324237,-2393
71324241,-2529
71324246,-2556
71324251,-2556
71324256,-2693
71324261,-2680
71324266,-2666
71324271,-2775
71324276,-2802
71324281,-2721
71324286,-2843
71324291,-2912
71324296,-3076
71324301,-3103
71324306,-3035
71324311,-3171
71324316,-3280
71324321,-3349
71324325,-3458
71324330,-3513
71324335,-3472
71324340,-3622
71324345,-3731
71324350,-3650
71324355,-3759
71324360,-3247
71324366,-3247
71324371,-3247
71324376,-3356
71324381,-3274
71324386,-3370
71324391,-3356
71324396,-3411
71324401,-3479
71324405,-3465
71324410,-3520
71324415,-3534
71324420,-3643
71324425,-3643
71324430,-3725
71324435,-3779
71324440,-3834
71324445,-3848
71324450,-3984
71324455,-4039
71324460,-4135
71324465,-4203
71324470,-4162
71324475,-4230
71324480,-4326
71324484,-4517
71324489,-4531
71324494,-4613
71324499,-4654
71324504,-4777
71324509,-4804
71324514,-4873
71324519,-4804
71324524,-4859
71324529,-4859
71324534,-4736
71324539,-4709
71324544,-4531
71324549,-4217
71324554,-3698
71324559,-2622
71324564,-1994
71324569,-1256
71324574,-464
71324579,164
71324584,874
71324589,1571
71324594,2240
71324599,2582
71324604,3060
71324609,3333
71324614,3661
71324619,3729
71324623,3934
71324628,4002
71324633,4016
71324638,4125
71324643,4098
71324648,4166
71324653,4002
71324658,4002
71324663,3934
71324668,3852
71324673,3661
71324678,3620
71324683,3483
71324688,3429
71324693,3401
71324698,3292
71324703,3210
71324708,3155
71324713,3046
71324718,2950
71324722,2964
71324727,2882
71324732,2841
71324737,2705
71324742,2800
71324747,2773
71324752,2773
71324757,2635
71324763,2744
71324768,2607
71324773,2607
71324778,2635
71324782,2635
71324787,2539
71324792,2430
71324797,2320
71324802,2280
71324807,2170
71324812,2047
71324817,2006
71324822,1788
71324827,1596
71324832,1528
71324837,1378
71324842,1187
71324847,1146
71324852,1159
71324857,1050
71324861,995
71324866,1036
71324871,968
71324876,982
71324881,927
71324886,927
71324891,968
71324896,927
71324901,1023
71324906,995
71324911,818
71324916,955
71324921,818
71324926,859
71324931,763
71324936,709
71324940,695
71324945,627
71324950,572
71324955,454
71324961,290
71324966,290
71324971,249
71324976,58
71324981,180
71324986,-51
71324991,-201
71324996,-228
71325001,-269
71325006,-419
71325011,-310
71325016,-515
71325020,-584
71325025,-638
71325030,-665
71325035,-802
71325040,-884
71325045,-979
71325050,-911
71325055,-1048
71325060,-1116
71325065,-1184
71325070,-1362
71325075,-1307
71325080,-1430
71325085,-1471
71325090,-1499
71325095,-1608
71325100,-1622
71325104,-1704
71325109,-1731
71325114,-1772
71325119,-1827
71325124,-1881
71325129,-1827
71325134,-1909
71325139,-1977
71325144,-2127
71325149,-2113
71325154,-1747
71325159,-1789
71325165,-1898
71325170,-1816
71325175,-1870
71325180,-1843
71325184,-1952
71325189,-2007
71325194,-2034
71325199,-2089
71325204,-2157
71325209,-2253
71325214,-2280
71325219,-2362
71325224,-2308
71325229,-2444
71325234,-2376
71325239,-2444
71325244,-2444
71325249,-2554
71325254,-2567
71325259,-2704
71325263,-2704
71325268,-2663
71325273,-2717
71325278,-2745
71325283,-2854
71325288,-2963
71325293,-3004
71325298,-3004
71325303,-3154
71325308,-3223
71325313,-3305
71325318,-3373
71325323,-3428
71325328,-3619
71325333,-3578
71325338,-3619
71325342,-3783
71325347,-3906
71325352,-3692
71325357,-3761
71325363,-3802
71325368,-3911
71325373,-3966
71325378,-4034
71325383,-4075
71325388,-4020
71325393,-4102
71325398,-4075
71325403,-3897
71325408,-3747
71325413,-3542
71325418,-3228
71325422,-2695
71325427,-2121
71325432,-1343
71325437,-578
71325442,159
71325447,897
71325452,1607
71325457,2304
71325462,2877
71325467,3287
71325472,3642
71325477,3970
71325481,4216
71325486,4339
71325491,4558
71325496,4626
71325501,4503
71325506,4612
71325511,4544
71325516,4558
71325521,4476
71325526,4435
71325531,4462
71325536,4244
71325541,4326
71325546,4134
71325551,3853
71325556,3976
71325561,3826
71325566,3840
71325571,3744
71325576,3662
71325581,3676
71325586,3539
71325591,3567
71325596,3471
71325601,3416
71325606,3403
71325611,3293
71325616,3444
71325621,3334
71325626,3321
71325631,3239
71325636,3239
71325641,3211
71325645,3266
71325650,3116
71325655,3143
71325660,3116
71325665,2897
71325670,2884
71325675,2638
71325680,2515
71325685,2296
71325690,2146
71325695,2037
71325700,1832
71325705,1709
71325710,1695
71325715,1709
71325720,1640
71325725,1613
71325730,1572
71325735,1463
71325740,1490
71325745,1422
71325750,1419
71325755,1391
71325760,1323
71325765,1391
71325770,1323
71325775,1296
71325780,1296
71325785,1173
71325790,1227
71325795,1091
71325800,1091
71325805,1132
71325810,1159
71325815,1036
71325820,886
71325824,872
71325829,777
71325834,763
71325839,695
71325844,572
71325849,408
71325854,340
71325859,367
71325864,244
71325869,66
71325874,107
71325879,-69
71325883,-56
71325888,-110
71325893,-124
71325898,-206
71325903,-220
71325908,-315
71325913,-383
71325918,-465
71325923,-479
71325928,-479
71325933,-643
71325938,-780
71325944,-889
71325949,-851
71325954,-960
71325959,-1014
71325963,-1097
71325968,-1124
71325973,-1151
71325978,-1206
71325983,-1178
71325988,-1301
71325993,-1383
71325998,-1206
71326003,-1329
71326008,-1397
71326013,-1493
71326018,-1465
71326023,-1506
71326028,-1602
71326033,-1684
71326038,-1711
71326042,-1779
71326047,-1766
71326052,-1862
71326057,-1875
71326062,-1930
71326067,-1903
71326072,-1971
71326077,-1862
71326082,-1916
71326087,-1998
71326092,-1875
71326097,-1834
71326102,-1875
71326107,-1916
71326112,-2025
71326117,-2066
71326121,-2230
71326126,-2244
71326131,-2217
71326136,-2326
71326142,-2340
71326147,-2334
71326152,-2375
71326157,-2443
71326162,-2402
71326167,-2484
71326172,-2457
71326177,-2457
71326182,-2511
71326187,-2498
71326192,-2525
71326197,-2539
71326201,-2593
71326206,-2580
71326211,-2703
71326216,-2771
71326221,-2839
71326226,-2894
71326231,-2921
71326236,-3044
71326241,-3126
71326246,-3058
71326251,-2949
71326256,-2689
71326261,-2593
71326266,-2129
71326271,-1746
71326276,-1186
71326280,-503
71326285,220
71326290,944
71326297,1545
71326303,2815
71326310,3280
71326315,3608
71326320,4072
71326325,4373
71326330,4509
71326335,4823
71326341,4960
71326346,4682
71326351,4750
71326356,4709
71326360,4750
71326365,4627
71326370,4696
71326375,4586
71326380,4532
71326385,4368
71326390,4368
71326395,4231
71326400,4204
71326405,4095
71326410,3958
71326415,3849
71326420,3821
71326424,3794
71326429,3712
71326434,3781
71326439,3630
71326444,3548
71326449,3589
71326454,3603
71326459,3548
71326464,3562
71326469,3411
71326474,3289
71326479,3289
71326484,3261
71326489,3166
71326494,2975
71326499,2933
71326503,2838
71326508,2742
71326513,2578
71326518,2373
71326523,2291
71326528,2182
71326533,2005
71326538,1950
71326544,1612
71326549,1462
71326554,1462
71326559,1462
71326564,1407
71326569,1421
71326574,1353
71326579,1394
71326583,1366
71326588,1421
71326593,1353
71326598,1325
71326603,1325
71326608,1339
71326613,1284
71326618,1394
71326623,1148
71326628,1120
71326633,1079
71326638,1107
71326643,1025
71326648,997
71326653,861
71326658,792
71326662,752
71326667,506
71326672,478
71326677,438
71326682,287
71326687,314
71326692,205
71326697,233
71326702,137
71326707,110
71326712,55
71326717,123
71326722,41
71326727,-40
71326732,14
71326737,-122
71326742,-361
71326747,-484
71326752,-471
71326757,-648
71326762,-758
71326767,-799
71326772,-990
71326777,-867
71326782,-976
71326787,-949
71326792,-1099
71326797,-1085
71326802,-1167
71326807,-1099
71326812,-1126
71326817,-1318
71326821,-1277
71326826,-1400
71326831,-1536
71326836,-1536
71326841,-1536
71326846,-1646
71326851,-1673
71326856,-1646
71326861,-1687
71326866,-1809
71326871,-1755
71326876,-1809
71326881,-1796
71326886,-1796
71326891,-1864
71326896,-1919
71326901,-1905
71326905,-1919
71326910,-2001
71326915,-2124
71326920,-2124
71326925,-2069
71326930,-2178
71326935,-2096
71326941,-2017
71326946,-2003
71326951,-2072
71326956,-2154
71326961,-2181
71326966,-2222
71326971,-2290
71326976,-2249
71326981,-2222
71326985,-2317
71326990,-2359
71326995,-2331
71327000,-2482
71327005,-2304
71327010,-2536
71327015,-2482
71327020,-2509
71327025,-2523
71327030,-2700
71327035,-2823
71327040,-2850
71327045,-3001
71327050,-3001
71327055,-3096
71327060,-3137
71327064,-3219
71327069,-3247
71327074,-3315
71327079,-3315
71327084,-3247
71327089,-3069
71327094,-2755
71327099,-2427
71327104,-2003
71327109,-1211
71327114,-596
71327119,127
71327124,769
71327129,1520
71327134,2285
71327139,2800
71327144,3209
71327149,3756
71327154,4029
71327159,4316
71327164,4466
71327169,4698
71327174,4753
71327179,4835
71327184,4821
71327189,4862
71327194,4644
71327199,4766
71327204,4739
71327209,4630
71327214,4630
71327219,4644
71327223,4521
71327228,4493
71327233,4411
71327238,4343
71327243,4275
71327248,4207
71327253,4043
71327258,4097
71327263,3920
71327268,3961
71327273,3920
71327278,3838
71327282,3852
71327287,3838
71327292,3838
71327297,3797
71327302,3810
71327307,3687
71327312,3742
71327317,3647
71327322,3619
71327327,3592
71327332,3537
71327337,3124
71327343,3110
71327348,2919
71327353,2755
71327358,2591
71327362,2495
71327367,2413
71327372,2085
71327377,1990
71327382,1881
71327387,1771
71327392,1703
71327397,1607
71327402,1443
71327407,1375
71327412,1416
71327417,1389
71327422,1402
71327427,1457
71327432,1416
71327437,1375
71327441,1279
71327446,1348
71327451,1402
71327456,1279
71327461,1225
71327466,1375
71327471,1211
71327476,1225
71327481,1143
71327486,1061
71327491,1006
71327496,897
71327501,897
71327506,774
71327511,746
71327516,692
71327520,583
71327525,596
71327530,514
71327535,198
71327541,102
71327546,47
71327551,-47
71327556,-184
71327561,-198
71327566,-266
71327571,-334
71327576,-457
71327581,-580
71327586,-717
71327591,-799
71327596,-717
71327600,-840
71327605,-949
71327610,-1072
71327615,-1031
71327620,-1086
71327625,-1086
71327630,-1263
71327635,-1318
71327640,-1414
71327645,-1455
71327650,-1482
71327655,-1468
71327660,-1550
71327665,-1632
71327670,-1632
71327675,-1632
71327680,-1782
71327684,-1714
71327689,-1837
71327694,-1796
71327699,-1837
71327704,-1864
71327709,-1946
71327714,-2069
71327719,-1987
71327724,-2069
71327729,-2069
71327734,-1942
71327739,-1888
71327745,-1983
71327750,-1956
71327755,-2038
71327760,-2052
71327764,-1942
71327769,-2161
71327774,-2079
71327779,-2092
71327784,-2133
71327789,-2188
71327794,-2202
71327799,-2311
71327804,-2379
71327809,-2420
71327814,-2393
71327819,-2530
71327824,-2557
