DIFFERENTIAL_TIME,PPW
796596,-3121
796601,-3134
796606,-3147
796611,-3251
796616,-3238
796621,-3303
796626,-3342
796631,-3420
796636,-3433
796641,-3381
796645,-3550
796650,-3667
796655,-3693
796660,-3719
796665,-3719
796670,-3797
796675,-3526
796680,-3448
796686,-3656
796691,-3500
796696,-3357
796701,-3266
796705,-2798
796710,-2459
796715,-2017
796720,-1288
796725,-559
796730,52
796735,767
796740,1418
796745,1860
796749,2498
796754,2928
796759,3253
796764,3578
796769,3904
796774,4073
796779,4151
796784,4125
796789,4268
796794,4333
796799,4242
796804,4164
796808,4164
796813,4125
796818,3943
796823,3722
796828,3683
796833,3474
796838,3383
796843,3240
796848,3136
796853,2941
796858,2849
796863,2719
796869,2589
796874,2372
796879,2255
796884,2034
796888,1890
796893,1682
796898,1539
796903,1422
796908,1188
796913,1110
796918,863
796923,732
796927,576
796932,290
796937,277
796942,29
796947,-165
796952,-243
796957,-360
796962,-529
796967,-737
796972,-750
796977,-711
796982,-841
796986,-867
796991,-841
796996,-789
797001,-867
797006,-815
797011,-737
797016,-815
797021,-698
797026,-724
797031,-659
797036,-672
797041,-633
797045,-685
797050,-581
797055,-555
797060,-672
797066,-620
797071,-645
797076,-619
797081,-749
797086,-633
797091,-749
797096,-867
797101,-854
797106,-880
797111,-997
797116,-1127
797121,-1205
797125,-1283
797130,-1387
797135,-1439
797140,-1544
797145,-1595
797150,-1738
797155,-1986
797160,-2012
797164,-2155
797169,-2168
797174,-2376
797179,-2402
797184,-2519
797189,-2519
797194,-2715
797199,-2663
797204,-2819
797209,-2858
797214,-2988
797219,-2975
797224,-3001
797229,-3079
797234,-3248
797239,-3300
797244,-3235
797248,-3404
797253,-3483
797258,-3600
797263,-3483
797269,-3619
797274,-3671
797279,-3711
797284,-3711
797289,-3697
797294,-3671
797299,-3762
797304,-3723
797308,-3815
797313,-3775
797318,-3801
797323,-3905
797328,-4062
797333,-4114
797338,-4049
797343,-4179
797348,-4257
797353,-4322
797358,-4283
797363,-4270
797367,-4101
797372,-3827
797377,-3398
797382,-2916
797387,-2448
797392,-1693
797397,-1055
797402,-418
797407,193
797412,700
797417,1247
797422,1624
797426,2223
797431,2340
797436,2652
797441,2887
797446,2978
797451,3121
797456,3212
797461,3186
797467,3265
797472,3174
797477,3135
797482,3070
797486,3005
797491,2810
797496,2679
797501,2445
797506,2393
797511,2185
797516,2133
797521,1924
797526,1704
797531,1586
797536,1404
797541,1300
797546,1118
797551,1040
797556,805
797561,623
797565,493
797570,272
797575,90
797580,-91
797585,-274
797590,-443
797595,-664
797600,-820
797605,-937
797609,-1120
797614,-1263
797619,-1393
797624,-1627
797629,-1692
797634,-1783
797639,-1822
797644,-1835
797649,-1900
797654,-1875
797659,-1875
797664,-1748
797669,-1748
797674,-1605
797679,-1631
797684,-1488
797689,-1540
797694,-1305
797701,-1227
797707,-1253
797714,-1084
797719,-1175
797724,-1071
797728,-1188
797733,-1149
797738,-1175
797743,-1292
797748,-1397
797753,-1292
797758,-1410
797763,-1422
797768,-1526
797773,-1670
797778,-1774
797783,-1787
797788,-1878
797793,-2047
797798,-2268
797803,-2217
797807,-2281
797812,-2451
797817,-2477
797822,-2659
797827,-2737
797832,-2750
797837,-2906
797842,-3075
797847,-3114
797852,-3127
797857,-3362
797862,-3271
797867,-3388
797872,-3545
797877,-3635
797882,-3688
797887,-3688
797892,-3896
797897,-3909
797902,-4013
797907,-4026
797912,-4130
797917,-4286
797922,-4338
797926,-4391
797931,-4442
797936,-4520
797941,-4638
797946,-4534
797951,-4560
797956,-4677
797961,-4729
797966,-4820
797971,-4794
797976,-4846
797981,-4885
797986,-4950
797991,-5054
797996,-5093
798001,-5119
798005,-5184
798010,-5210
798015,-5210
798020,-5132
798024,-5015
798029,-4820
798034,-4585
798039,-4117
798044,-3531
798049,-3011
798054,-2256
798059,-1072
798065,-265
798070,411
798075,996
798080,1530
798085,1959
798090,2194
798095,2558
798100,2884
798105,2936
798109,3066
798114,3248
798119,3300
798124,3313
798129,3261
798134,3235
798139,3287
798144,3261
798149,3105
798154,3014
798159,2923
798164,2832
798168,2623
798173,2506
798178,2428
798183,2272
798188,2090
798193,1959
798198,1908
798203,1660
798208,1582
798213,1413
798218,1166
798223,1100
798228,866
798233,710
798238,489
798243,281
798247,85
798252,-109
798257,-305
798262,-527
798268,-631
798273,-800
798278,-1047
798283,-1008
798287,-1229
798292,-1190
798297,-1386
798302,-1360
798307,-1437
798312,-1411
798317,-1425
798322,-1372
798327,-1372
798332,-1399
798337,-1307
798342,-1268
798346,-1360
798351,-1333
798356,-1203
798361,-1242
798366,-1216
798371,-1203
798376,-1112
798381,-1073
798386,-1060
798391,-1177
798396,-1190
798401,-1138
798406,-1138
798411,-1125
798416,-1125
798421,-1216
798425,-1164
798430,-1112
798435,-1281
798440,-1360
798445,-1360
798450,-1411
798455,-1443
798460,-1534
798466,-1716
798471,-1911
798476,-1989
798481,-2002
798485,-2054
798490,-2171
798495,-2315
798500,-2523
798505,-2471
798510,-2614
798515,-2692
798520,-2640
798525,-2900
798529,-2900
798534,-3005
798539,-3056
798544,-3200
798549,-3278
798554,-3330
798559,-3408
798564,-3512
798569,-3473
798574,-3642
798579,-3681
798584,-3746
798588,-3916
798593,-3863
798598,-3876
798603,-4006
798608,-4098
798613,-4006
798618,-4137
798623,-4072
798628,-4228
798633,-4280
798638,-4384
798643,-4267
798649,-4267
798654,-4156
798659,-4234
798664,-4182
798668,-4182
798673,-4195
798678,-4273
798683,-4338
798688,-4299
798693,-4234
798698,-4169
798703,-3896
798708,-3518
798713,-2933
798718,-2490
798723,-1735
798727,-1058
798732,-421
798737,177
798742,919
798747,1413
798752,1843
798757,2259
798762,2559
798767,2910
798772,3209
798777,3301
798782,3483
798786,3561
798791,3743
798796,3704
798801,3587
798806,3691
798811,3470
798816,3456
798821,3340
798826,3248
798831,3144
798836,2949
798841,2780
798846,2585
798851,2411
798856,2320
798861,2086
798866,1904
798871,1851
798876,1734
798881,1513
798886,1357
798891,1148
798896,1084
798901,966
798906,758
798911,602
798916,459
798921,277
798925,133
798930,-9
798935,-113
798940,-347
798945,-438
798950,-581
798955,-855
798960,-881
798965,-959
798969,-1115
798974,-1128
798979,-1258
798984,-1284
798989,-1297
798994,-1310
798999,-1310
799004,-1284
799009,-1310
799014,-1193
799019,-1167
799024,-1180
799028,-1089
799033,-972
799038,-959
799043,-1011
799049,-796
799054,-887
799059,-783
799064,-770
799069,-874
799074,-1043
799079,-952
799084,-952
799088,-1004
799093,-991
799098,-1160
799103,-1238
799108,-1368
799113,-1512
799118,-1694
799123,-1746
799128,-1850
799133,-1993
799138,-2058
799143,-2163
799147,-2293
799152,-2332
799157,-2423
799162,-2475
799167,-2540
799172,-2579
799177,-2670
799182,-2761
799187,-2709
799192,-2904
799197,-2969
799202,-2982
799206,-2995
799211,-3178
799216,-3282
799221,-3373
799226,-3490
799231,-3607
799236,-3542
799241,-3724
799247,-3670
799252,-3618
799257,-3657
799262,-3683
799266,-3839
799271,-3865
799276,-3930
799281,-4008
799286,-4061
799291,-4256
799296,-4178
799301,-4282
799306,-4295
799311,-4347
799316,-4412
799321,-4425
799326,-4360
799331,-4477
799336,-4386
799341,-4425
799345,-4581
799350,-4451
799355,-4555
799360,-4594
799365,-4516
799370,-4490
799375,-4295
799380,-4269
799385,-3852
799389,-3358
799394,-2915
799399,-2251
799404,-1691
799409,-963
799414,-299
799419,325
799424,767
799429,1184
799434,1574
799439,1861
799444,2233
799449,2428
799454,2598
799459,2598
799464,2741
799469,2741
799474,2689
799479,2715
799484,2584
799489,2506
799494,2376
799499,2337
799504,2207
799509,1986
799514,1790
799519,1712
799524,1582
799528,1504
799533,1322
799538,1192
799543,1088
799548,853
799553,879
799558,632
799563,541
799568,333
799573,229
799578,-135
799583,-226
799587,-512
799592,-669
799597,-838
799602,-994
799607,-1202
799612,-1319
799617,-1475
799622,-1697
799627,-1788
799632,-1879
799637,-2022
799642,-1930
799647,-1917
799652,-1969
799657,-2008
799662,-1930
799667,-2047
799672,-2008
799677,-1839
799682,-1878
799687,-1761
799692,-1709
799697,-1618
799702,-1592
799706,-1553
799711,-1579
799716,-1592
799721,-1566
799726,-1631
799731,-1579
799736,-1631
799741,-1553
799746,-1592
799751,-1592
799756,-1683
799761,-1592
799766,-1644
799771,-1657
799776,-1761
799781,-1670
799785,-1748
799790,-1761
799795,-1813
799800,-1878
799805,-1943
799810,-2061
799815,-2191
799820,-2295
799825,-2451
799829,-2399
799834,-2490
799839,-2674
799845,-2765
799850,-2791
799855,-2765
799860,-2948
799865,-3065
799870,-2987
799875,-3195
799880,-3286
799885,-3325
799889,-3338
799894,-3481
799899,-3507
799904,-3520
799909,-3611
799914,-3728
799919,-3780
799924,-3780
799929,-3846
799934,-3858
799939,-3885
799944,-3898
799948,-3976
799953,-3989
799960,-4067
799966,-4197
799973,-4301
799978,-4288
799983,-4470
799988,-4418
799993,-4496
799998,-4770
800003,-4639
800008,-4705
800013,-4692
800018,-4770
800023,-4600
800028,-4405
800033,-4132
800038,-3059
800043,-2603
800048,-2070
800053,-1354
800058,-625
800063,-52
800068,611
800073,1170
800078,1730
800083,2172
800087,2485
800092,2784
800097,3071
800102,3253
800107,3409
800112,3487
800117,3448
800122,3448
800126,3474
800131,3461
800136,3422
800141,3344
800146,3188
800151,3136
800156,2992
800161,2745
800166,2745
800171,2615
800176,2355
800181,2316
800186,2186
800191,1990
800196,1886
800201,1717
800206,1639
800211,1509
800216,1339
800221,1157
800225,962
800230,676
800235,498
800240,329
800246,120
800251,-100
800256,-282
800261,-529
800266,-738
800271,-829
800276,-816
800281,-1115
800285,-1115
800290,-1206
800295,-1206
800300,-1272
800305,-1258
800310,-1258
800315,-1219
800320,-1245
800325,-1245
800329,-1219
800334,-1141
800339,-1037
800344,-985
800349,-959
800354,-803
800359,-842
800364,-686
800369,-607
800374,-595
800379,-647
800384,-660
800388,-673
800393,-607
800398,-595
800403,-699
800408,-660
800413,-842
800418,-634
800423,-725
800429,-803
800434,-780
800439,-936
800444,-962
800448,-1210
800453,-1249
800458,-1496
800463,-1561
800468,-1639
800473,-1730
800478,-1900
800483,-2017
800488,-1952
800493,-2069
800498,-2108
800503,-2082
800507,-2251
800512,-2342
800517,-2381
800522,-2498
800527,-2524
800532,-2577
800537,-2785
800542,-2720
800547,-2915
800552,-3019
800557,-3084
800562,-3123
800566,-3188
800571,-3410
800576,-3371
800581,-3553
800586,-3527
800591,-3592
800596,-3683
800601,-3631
800606,-3579
800611,-3683
800616,-3826
800621,-3839
800627,-3787
800632,-3889
800637,-3928
800642,-4019
800646,-4032
800651,-4032
800656,-4071
800661,-4045
800666,-3876
800671,-3642
800676,-3499
800681,-2952
800686,-2496
800691,-1872
800696,-1208
800701,-427
800705,314
800710,1004
800715,1629
800720,2215
800725,2748
800730,3047
800735,3399
800740,3594
800745,3763
800749,3816
800754,4037
800759,4167
800764,4141
800769,4245
800774,4232
800779,4206
800784,4310
800789,4115
800794,4141
800799,4024
800804,3894
800808,3711
800813,3659
800818,3581
800823,3373
800829,3402
800834,3245
800839,2972
800844,2933
800849,2711
800854,2607
800859,2503
800864,2347
800868,2217
800873,2152
800878,1996
800883,1748
800888,1475
800893,1176
800898,1045
800903,941
800908,798
800913,616
800918,395
800923,290
800928,251
800933,121
800938,69
800943,-125
800947,56
800952,-21
800957,17
800962,-47
800967,-21
800972,69
800977,17
800982,173
800987,147
800992,160
800997,329
801002,329
801006,264
801011,381
801016,472
801021,329
801027,383
801032,435
801037,396
801042,344
801046,305
801051,356
801056,227
801061,227
801066,187
801071,109
801076,122
801081,44
801086,-85
801091,-72
801096,-267
801101,-306
801106,-371
801111,-410
801116,-527
801121,-593
801126,-710
801130,-879
801135,-905
801140,-1061
801145,-1087
801150,-1204
801155,-1257
801160,-1413
801165,-1517
801170,-1465
801175,-1517
801180,-1738
801185,-1673
801189,-1790
801194,-1829
801199,-1985
801204,-2050
801209,-2050
801214,-2116
801219,-2324
801224,-2240
801230,-2422
801235,-2448
801240,-2448
801245,-2540
801249,-2670
801254,-2709
801259,-2735
801264,-2813
801269,-2813
801274,-2878
801279,-2852
801284,-2865
801289,-2878
801294,-2865
801299,-2956
801304,-3086
801308,-3008
801313,-2917
801318,-2865
801323,-2657
801328,-2318
801333,-1954
801338,-1407
801343,-782
801348,-118
801353,557
801358,1234
801363,1872
801368,2354
801373,2900
801378,3408
801383,3707
801387,4085
801392,4358
801397,4567
801402,4606
801407,4710
801412,4749
801417,4775
801422,4837
801428,4772
801433,4628
801438,4693
801443,4511
801447,4368
801452,4381
801457,4172
801462,4017
801467,3899
801472,3795
801477,3561
801482,3457
801486,3327
801491,3183
801496,3001
801501,2910
801506,2715
801511,2493
801516,2441
801521,2194
801526,2181
801531,1999
801536,1868
801541,1725
801546,1517
801550,1283
801555,1322
801560,1062
801565,879
801570,762
801575,710
801580,632
801585,502
801590,397
801595,385
801600,254
801605,280
801609,189
801614,202
801619,203
801624,242
801630,203
801635,177
801640,60
801645,138
801650,177
801655,164
801660,255
801665,255
801669,190
801674,138
801679,216
801684,99
801689,203
801694,125
801699,8
801704,8
801709,-82
801714,-121
801719,-108
801724,-121
801729,-251
801734,-239
801739,-317
801744,-460
801748,-460
801753,-460
801758,-668
801763,-668
801768,-759
801773,-863
801778,-902
801783,-1059
801788,-1137
801793,-1189
801798,-1267
801803,-1449
801807,-1514
801812,-1540
801817,-1610
801822,-1688
801828,-1780
801833,-1780
801838,-1753
801843,-1858
801848,-1884
801853,-1871
801858,-2066
801863,-2066
801867,-2144
801872,-2209
801877,-2248
801882,-2352
801887,-2469
801892,-2547
801897,-2547
801902,-2652
801907,-2613
801912,-2639
801917,-2730
801922,-2704
801926,-2743
801931,-2808
801936,-2769
801941,-2795
801946,-2808
801951,-2938
801956,-2951
801961,-3042
801966,-2925
801971,-2899
801976,-2704
801981,-2430
801986,-2053
801990,-1649
801995,-1090
802000,-595
802005,81
802011,797
802016,1430
802021,1924
802026,2328
802031,2731
802036,3096
802041,3252
802046,3499
802050,3707
802055,3786
802060,3942
802065,4085
802070,4059
802075,4111
802080,4124
802085,4085
802090,4098
802095,4020
802100,3955
802105,3812
802109,3656
802114,3603
802119,3382
802124,3239
802129,3070
802134,2927
802139,2757
802144,2588
802149,2367
802154,2224
802159,2119
802164,2002
802168,1768
802173,1768
802178,1534
802183,1403
802188,1313
802193,1078
802198,961
802203,857
802209,609
802214,402
802219,337
802224,181
802228,38
802233,103
802238,38
802243,0
802248,-14
