DIFFERENTIAL_TIME,PPW
5828079,6919
5828084,6854
5828089,6657
5828094,6552
5828099,6303
5828104,6054
5828108,5910
5828113,5451
5828118,5150
5828123,4848
5828128,4560
5828133,4311
5828138,4049
5828143,3681
5828149,3294
5828154,2979
5828159,2914
5828164,2848
5828168,2796
5828173,2665
5828178,2783
5828183,2822
5828188,2757
5828193,2704
5828198,2743
5828203,2743
5828208,2717
5828213,2717
5828218,2626
5828223,2455
5828227,2468
5828232,2363
5828237,2271
5828242,2088
5828247,1957
5828252,1813
5828257,1682
5828262,1642
5828267,1393
5828272,1315
5828277,1144
5828282,1079
5828287,1052
5828292,856
5828297,633
5828302,502
5828306,397
5828311,188
5828316,201
5828321,-34
5828326,-139
5828331,-270
5828336,-441
5828341,-559
5828347,-922
5828352,-1053
5828357,-1105
5828362,-1289
5828366,-1603
5828371,-1485
5828376,-1695
5828381,-1695
5828386,-1826
5828391,-1970
5828396,-2088
5828401,-2272
5828406,-2206
5828411,-2376
5828416,-2534
5828421,-2468
5828425,-2744
5828430,-2744
5828435,-2914
5828440,-2888
5828445,-3032
5828450,-3084
5828455,-3229
5828460,-3320
5828465,-3425
5828470,-3386
5828475,-3569
5828480,-3595
5828485,-3700
5828490,-3792
5828495,-3923
5828500,-4015
5828505,-4199
5828509,-4172
5828514,-4225
5828519,-4264
5828524,-4264
5828529,-4303
5828534,-4395
5828539,-4461
5828544,-3999
5828550,-3947
5828555,-4091
5828560,-4209
5828565,-4235
5828569,-4248
5828574,-4445
5828579,-4524
5828584,-4563
5828589,-4563
5828594,-4838
5828599,-4891
5828604,-5100
5828609,-5205
5828614,-5231
5828619,-5271
5828624,-5494
5828629,-5494
5828634,-5585
5828639,-5638
5828644,-5782
5828648,-5900
5828653,-6057
5828658,-6201
5828663,-6162
5828668,-6306
5828673,-6385
5828678,-6450
5828683,-6516
5828688,-6542
5828693,-6437
5828698,-6332
5828703,-6109
5828707,-5677
5828712,-4969
5828717,-4025
5828722,-3016
5828727,-1666
5828732,-198
5828737,1282
5828742,3132
5828748,4325
5828753,5386
5828758,6225
5828763,6828
5828768,7261
5828773,7641
5828778,7864
5828783,7982
5828787,8191
5828792,8218
5828797,8231
5828802,8296
5828807,8218
5828812,8205
5828817,8152
5828822,8113
5828827,8113
5828832,8126
5828837,7969
5828842,7982
5828846,7982
5828851,7837
5828856,7929
5828861,7995
5828866,7942
5828871,7890
5828876,7864
5828881,7903
5828886,7877
5828891,7811
5828896,7811
5828901,7837
5828905,7824
5828910,7798
5828915,7759
5828920,7798
5828925,7680
5828930,7628
5828935,7601
5828940,7085
5828946,6862
5828951,6705
5828956,6639
5828961,6351
5828966,6141
5828971,5735
5828976,5630
5828981,5092
5828986,4830
5828990,4568
5828995,4279
5829000,3978
5829005,3703
5829010,3572
5829015,3441
5829020,3244
5829025,3297
5829030,3270
5829035,3257
5829040,3257
5829045,3284
5829049,3467
5829054,3205
5829059,3323
5829064,3336
5829069,3257
5829074,3192
5829079,3060
5829084,3008
5829089,3034
5829094,2798
5829099,2694
5829104,2549
5829108,2379
5829113,2326
5829118,2169
5829123,2130
5829128,1986
5829133,1815
5829138,1324
5829143,1232
5829149,957
5829154,931
5829159,695
5829164,708
5829168,406
5829173,302
5829178,92
5829183,-64
5829188,-222
5829193,-300
5829198,-484
5829203,-693
5829208,-733
5829213,-824
5829218,-982
5829223,-1139
5829228,-1192
5829233,-1336
5829238,-1454
5829243,-1414
5829247,-1624
5829252,-1663
5829257,-1716
5829262,-1926
5829267,-1991
5829272,-2122
5829277,-2135
5829282,-2266
5829287,-2345
5829292,-2450
5829297,-2568
5829302,-2673
5829306,-2686
5829311,-2883
5829316,-3027
5829321,-3079
5829326,-3184
5829331,-3263
5829336,-3433
5829341,-3590
5829347,-3577
5829352,-3787
5829357,-3800
5829362,-4036
5829367,-4023
5829372,-4193
5829377,-4272
5829382,-4232
5829386,-4521
5829391,-4338
5829396,-4443
5829401,-4560
5829406,-4744
5829411,-4704
5829416,-4678
5829421,-4665
5829426,-4875
5829431,-4849
5829436,-4967
5829441,-4927
5829446,-5058
5829450,-5137
5829455,-5255
5829460,-5399
5829465,-5530
5829470,-5609
5829475,-5674
5829480,-5845
5829485,-5950
5829490,-6015
5829495,-6107
5829500,-6120
5829505,-6317
5829509,-6356
5829514,-6448
5829519,-6618
5829524,-6762
5829529,-6828
5829534,-6295
5829539,-6400
5829545,-6452
5829550,-6570
5829555,-6636
5829560,-6714
5829565,-6701
5829570,-6741
5829575,-6492
5829580,-6282
5829585,-5771
5829589,-5129
5829594,-4080
5829599,-3044
5829604,-1642
5829609,-148
5829614,1411
5829619,2906
5829624,4321
5829629,5383
5829634,6195
5829639,6969
5829644,7388
5829648,7886
5829653,8096
5829658,8240
5829663,8411
5829668,8463
5829673,8634
5829678,8594
5829683,8634
5829688,8437
5829693,8437
5829698,8293
5829703,8267
5829707,8214
5829712,8162
5829717,8240
5829722,8135
5829728,8031
5829733,7675
5829738,7609
5829743,7649
5829748,7570
5829753,7531
5829758,7504
5829763,7596
5829768,7504
5829773,7517
5829778,7465
5829783,7583
5829787,7531
5829792,7360
5829797,7334
5829802,7321
5829807,7268
5829812,7229
5829817,7072
5829822,6954
5829827,6770
5829832,6469
5829837,6233
5829842,5918
5829846,5630
5829851,5355
5829856,4988
5829861,4726
5829866,4450
5829871,4188
5829876,3952
5829881,3795
5829886,3677
