DIFFERENTIAL_TIME,PPW
1087178,-577
1087183,-603
1087188,-616
1087193,-642
1087198,-524
1087203,-616
1087207,-603
1087212,-656
1087217,-695
1087222,-722
1087227,-695
1087232,-735
1087237,-761
1087242,-774
1087247,-814
1087252,-761
1087257,-827
1087262,-880
1087267,-880
1087272,-946
1087277,-906
1087282,-933
1087286,-920
1087291,-933
1087296,-1065
1087301,-1038
1087306,-920
1087311,-986
1087316,-1052
1087321,-959
1087327,-1063
1087332,-1103
1087337,-1050
1087342,-1116
1087346,-1063
1087351,-1090
1087356,-1076
1087361,-1169
1087366,-1142
1087371,-1103
1087376,-1129
1087381,-1090
1087386,-1235
1087391,-1195
1087396,-1287
1087401,-1248
1087405,-1274
1087410,-1314
1087415,-1380
1087420,-1485
1087425,-1525
1087430,-1617
1087435,-1511
1087440,-1577
1087445,-1670
1087450,-1802
1087455,-1762
1087460,-1881
1087465,-1841
1087470,-1775
1087475,-1828
1087480,-1762
1087485,-1722
1087490,-1841
1087495,-1828
1087500,-1472
1087504,-1459
1087509,-1169
1087514,-839
1087519,-536
1087525,-126
1087530,163
1087535,599
1087540,968
1087545,1298
1087550,1548
1087555,1970
1087560,2142
1087564,2432
1087569,2564
1087575,2735
1087581,2801
1087588,2854
1087594,2933
1087599,2801
1087604,2854
1087608,2735
1087613,2788
1087618,2788
1087623,2761
1087628,2616
1087633,2669
1087638,2643
1087643,2603
1087648,2630
1087653,2603
1087658,2577
1087663,2550
1087667,2511
1087672,2550
1087677,2485
1087682,2577
1087687,2498
1087692,2537
1087697,2471
1087702,2537
1087707,2577
1087712,2511
1087717,2458
1087722,2439
1087728,2334
1087733,2268
1087738,2176
1087743,2189
1087747,2083
1087752,1938
1087757,1873
1087762,1780
1087767,1530
1087772,1437
1087777,1332
1087782,1318
1087787,1279
1087792,1081
1087797,1042
1087802,1042
1087806,936
1087811,1068
1087816,857
1087821,962
1087826,817
1087831,883
1087836,936
1087841,870
1087846,910
1087851,883
1087856,949
1087861,936
1087865,804
1087870,831
1087875,712
1087880,804
1087885,712
1087890,606
1087895,738
1087900,593
1087905,448
1087910,554
1087915,527
1087920,324
1087925,310
1087930,244
1087935,139
1087940,99
1087945,47
1087950,-18
1087955,-97
1087960,-71
1087965,-190
1087970,-137
1087975,-163
1087980,-216
1087985,-282
1087990,-282
1087995,-308
1088000,-374
1088005,-388
1088010,-414
1088015,-427
1088020,-427
1088024,-559
1088029,-414
1088034,-546
1088039,-559
1088044,-691
1088049,-599
1088054,-757
1088059,-665
1088064,-757
1088068,-796
1088073,-836
1088078,-981
1088083,-889
1088088,-915
1088093,-902
1088098,-836
1088103,-1060
1088108,-928
1088113,-1047
1088118,-1020
1088123,-1191
1088128,-1112
1088133,-1112
1088138,-1099
1088143,-1099
1088148,-1152
1088153,-1204
1088158,-1257
1088163,-1178
1088168,-1244
1088173,-1218
1088178,-1231
1088183,-1284
