TIME,DIFFERENTIAL_TIME,PACKNUM,LOSTNUM,DATA_LEN,PPW,SP,IF_TRUNCATED
77851596,77851581,388884,0,4,-3949,790,0
77851596,77851586,388884,0,4,-3936,790,0
77851596,77851591,388884,0,4,-3882,791,0
77851596,77851596,388884,0,4,-3775,792,0
77851616,77851601,388885,0,4,-3478,795,0
77851616,77851606,388885,0,4,-3223,797,0
77851616,77851611,388885,0,4,-2752,802,0
77851616,77851616,388885,0,4,-2173,808,0
77851636,77851621,388886,0,4,-1595,814,0
77851636,77851626,388886,0,4,-895,821,0
77851636,77851631,388886,0,4,-142,828,0
77851636,77851636,388886,0,4,637,836,0
77851660,77851641,388887,0,5,1256,842,0
77851660,77851646,388887,0,5,1996,850,0
77851660,77851650,388887,0,5,2521,855,0
77851660,77851655,388887,0,5,3126,861,0
77851660,77851660,388887,0,5,3544,865,0
77851680,77851665,388888,0,4,4028,870,0
77851680,77851670,388888,0,4,4176,871,0
77851680,77851675,388888,0,4,4459,874,0
77851680,77851680,388888,0,4,4566,875,0
77851700,77851685,388889,0,4,4728,877,0
77851700,77851690,388889,0,4,4822,878,0
77851700,77851695,388889,0,4,4970,879,0
77851700,77851700,388889,0,4,5010,880,0
77851720,77851705,388890,0,4,4849,879,0
77851720,77851710,388890,0,4,4809,878,0
77851720,77851715,388890,0,4,4890,879,0
77851720,77851720,388890,0,4,4795,878,0
77851740,77851725,388891,0,4,4661,877,0
77851740,77851730,388891,0,4,4621,876,0
77851740,77851735,388891,0,4,4432,875,0
77851740,77851740,388891,0,4,4419,874,0
77851760,77851745,388892,0,4,4203,872,0
77851760,77851750,388892,0,4,4096,871,0
77851760,77851755,388892,0,4,4109,871,0
77851760,77851760,388892,0,4,3867,869,0
77851779,77851765,388893,0,4,3746,868,0
77851779,77851770,388893,0,4,3611,866,0
77851779,77851774,388893,0,4,3652,867,0
77851779,77851779,388893,0,4,3369,864,0
77851799,77851784,388894,0,4,3208,862,0
77851799,77851789,388894,0,4,3060,861,0
77851799,77851794,388894,0,4,3073,861,0
77851799,77851799,388894,0,4,2817,858,0
77851819,77851804,388895,0,4,2710,857,0
77851819,77851809,388895,0,4,2481,855,0
77851819,77851814,388895,0,4,2333,854,0
77851819,77851819,388895,0,4,2158,852,0
77851839,77851824,388896,0,4,1943,850,0
77851839,77851829,388896,0,4,1687,847,0
77851839,77851834,388896,0,4,1432,845,0
77851839,77851839,388896,0,4,1216,842,0
77851858,77851844,388897,0,4,907,839,0
77851858,77851849,388897,0,4,732,838,0
77851858,77851853,388897,0,4,503,835,0
77851858,77851858,388897,0,4,221,832,0
77851878,77851863,388898,0,4,221,832,0
77851878,77851868,388898,0,4,73,831,0
77851878,77851873,388898,0,4,-34,830,0
77851878,77851878,388898,0,4,-155,829,0
77851898,77851883,388899,0,4,-128,829,0
77851898,77851888,388899,0,4,-169,829,0
77851898,77851893,388899,0,4,-169,829,0
77851898,77851898,388899,0,4,-263,828,0
77851918,77851903,388900,0,4,-264,828,0
77851918,77851908,388900,0,4,-224,828,0
77851918,77851913,388900,0,4,-49,830,0
77851918,77851918,388900,0,4,-62,830,0
77851938,77851923,388901,0,4,84,832,0
77851938,77851928,388901,0,4,-62,830,0
77851938,77851933,388901,0,4,71,831,0
77851938,77851938,388901,0,4,125,832,0
77851958,77851943,388902,0,4,98,832,0
