DIFFERENTIAL_TIME,PPW
525915,-428
525920,-441
525925,-480
525930,-506
525935,-585
525940,-611
525945,-611
525950,-598
525955,-707
525960,-707
525966,-759
525971,-759
525976,-799
525981,-851
525985,-890
525990,-864
525995,-851
526000,-995
526005,-1035
526010,-1100
526015,-1060
526020,-1192
526025,-1205
526030,-1218
526035,-1113
526040,-1296
526045,-1323
526049,-1336
526054,-1388
526059,-1519
526064,-1428
526069,-1362
526074,-1362
526079,-1559
526084,-1480
526089,-1598
526094,-1559
526099,-1454
526104,-1676
526109,-1559
526114,-1690
526119,-1690
526124,-1795
526128,-1795
526133,-1860
526138,-1873
526143,-1821
526149,-1886
526154,-1646
526159,-1606
526164,-1606
526169,-1619
526174,-1672
526179,-1606
526184,-1659
526188,-1646
526193,-1711
526198,-1698
526203,-1737
526208,-1711
526213,-1803
526218,-1750
526223,-1829
526228,-1842
526233,-1855
526238,-1934
526243,-1894
526247,-1960
526252,-1947
526257,-1960
526262,-1908
526267,-1855
526272,-2130
526277,-2091
526282,-2052
526287,-2144
526292,-2170
526297,-2130
526302,-2209
526306,-2183
526311,-2249
526316,-2301
526321,-2432
526326,-2340
526331,-2406
526336,-2524
526341,-2510
526347,-2694
526352,-2417
526357,-2351
526362,-2535
526367,-2508
526372,-2482
526377,-2469
526382,-2482
526386,-2482
526391,-2377
526396,-2142
526401,-2168
526406,-1748
526411,-1578
526416,-1263
526421,-949
526426,-634
526431,-425
526436,-18
526441,256
526445,531
526450,819
526455,924
526460,990
526465,1186
526470,1291
526475,1278
526480,1317
526485,1435
526490,1448
526495,1343
526500,1435
526505,1448
526509,1396
526514,1448
526519,1488
526524,1383
526529,1370
526534,1330
526539,1317
526544,1317
526550,1330
526555,1316
526560,1238
526565,1185
526569,1211
526574,1159
526579,1081
526584,1041
526589,1133
526594,1081
526599,989
526604,1028
526609,1002
526614,1067
526619,1120
526624,1028
526628,923
526633,949
526638,818
526643,884
526648,700
526653,530
526658,543
526663,491
526668,346
526673,229
526678,176
526683,137
526688,-46
526693,-6
526698,32
526703,6
526707,-72
526712,-72
526717,-85
526722,-138
526727,-111
526732,-111
526737,-111
526742,-98
526748,-69
526753,-69
526758,-148
526763,-161
526767,-161
526772,-200
526777,-266
526782,-292
526787,-371
526792,-331
526797,-331
526802,-358
526807,-475
526812,-515
526817,-594
526822,-580
526826,-633
526831,-738
526836,-725
526841,-777
526846,-790
526851,-829
526856,-816
526861,-869
526866,-1013
526871,-1065
526876,-1118
526881,-1118
526885,-1183
526890,-1157
526895,-1223
526900,-1183
526905,-1275
526910,-1301
526915,-1288
526920,-1393
526925,-1327
526930,-1406
526935,-1406
526940,-1367
526946,-1502
526951,-1476
526956,-1542
526961,-1502
526965,-1581
526970,-1555
526975,-1594
526980,-1568
526985,-1581
526990,-1555
526995,-1633
527000,-1581
527005,-1699
527010,-1646
527015,-1699
527020,-1738
527025,-1804
527029,-1804
527034,-1843
527039,-1895
527044,-1908
527049,-2013
527054,-1961
527059,-1987
527064,-2105
527069,-2027
527074,-2079
527079,-1961
527084,-2027
527088,-2118
527093,-2066
527098,-2144
527103,-2105
527108,-2171
527113,-2092
527118,-2079
527123,-2066
527128,-2171
527133,-2171
527138,-2236
527143,-1969
527148,-2061
527153,-2113
527158,-2087
527163,-2087
527168,-2126
527173,-2166
527178,-2126
527183,-2179
527188,-2323
527193,-2336
527198,-2244
527203,-2232
527207,-2349
527212,-2389
527217,-2454
527222,-2415
527227,-2402
527232,-2389
527237,-2454
527242,-2559
527247,-2480
527252,-2376
527257,-2362
527262,-2153
527267,-1930
527272,-1733
527277,-1432
527282,-1104
527286,-934
527291,-475
527296,-161
527301,61
527306,258
527311,572
527316,730
527321,926
527326,1005
527331,1083
527337,1346
527343,1260
527350,1221
527356,1287
527361,1313
527366,1260
527371,1300
527376,1195
527381,1326
527386,1234
527391,1129
527396,1143
527401,1051
527405,1103
527410,1143
527415,1051
527420,1051
527425,1011
527430,1077
527435,1024
527440,1011
527445,1038
527450,1064
527455,1011
527460,985
527465,1051
527470,920
527475,894
527480,880
527484,828
527489,880
527494,723
527499,618
527504,658
527509,526
527514,487
527519,304
527523,304
527528,212
527533,68
527539,-129
527544,-64
527550,-129
527555,-116
527560,-90
527564,-300
527569,-274
527574,-378
527579,-274
527584,-326
527589,-365
527594,-274
527599,-274
527604,-287
527608,-326
527613,-300
527618,-431
527623,-378
527628,-339
527633,-405
527638,-444
527643,-352
527648,-431
527653,-562
