DIFFERENTIAL_TIME,PPW
79878764,118
79878769,186
79878774,105
79878779,118
79878784,159
79878789,118
79878794,172
79878799,159
79878804,213
79878809,159
79878815,56
79878820,70
79878825,70
79878830,56
79878835,56
79878840,-10
79878845,70
79878850,-51
79878854,-105
79878859,16
79878864,-78
79878869,-118
79878874,-159
79878879,-253
79878884,-240
79878889,-321
79878894,-348
79878899,-469
79878904,-402
79878909,-496
79878913,-550
79878918,-631
79878923,-645
79878928,-726
79878933,-726
79878938,-726
79878943,-834
79878948,-969
79878953,-983
79878958,-1050
79878963,-1090
79878968,-1023
79878972,-1185
79878977,-1144
79878982,-1266
79878987,-1306
79878992,-1387
79878997,-1347
79879002,-1347
79879007,-1360
79879013,-1238
79879018,-1306
79879023,-1373
79879028,-1387
79879033,-1414
79879038,-1414
79879043,-1387
79879048,-1522
79879052,-1508
79879057,-1562
79879062,-1657
79879067,-1616
79879072,-1589
79879077,-1711
79879082,-1711
79879087,-1697
79879091,-1711
79879096,-1711
79879101,-1697
79879106,-1738
79879111,-1832
79879116,-1751
79879121,-1832
79879126,-1873
79879131,-1805
79879136,-1900
79879141,-1967
79879146,-1994
79879150,-1994
79879155,-1981
79879160,-2035
79879165,-2116
79879170,-2102
79879175,-1913
79879180,-1886
79879185,-1616
79879190,-1427
79879195,-1225
79879200,-968
79879205,-617
79879210,-272
79879216,92
79879221,457
79879226,740
79879231,956
79879235,1253
79879240,1496
79879245,1753
79879250,1942
79879255,1982
79879260,2131
79879265,2117
79879270,2185
79879275,2279
79879280,2266
79879285,2306
79879290,2333
79879294,2293
79879299,2293
79879304,2293
79879309,2239
79879314,2212
79879319,2239
79879324,2144
79879329,2144
79879334,2050
79879339,2036
79879344,1942
79879349,2009
79879353,1861
79879358,1915
79879363,1834
79879368,1820
79879373,1780
79879378,1617
79879383,1537
79879388,1496
79879393,1496
79879398,1442
79879403,1321
79879408,1188
79879413,958
79879418,891
79879423,688
79879428,742
79879433,526
79879438,513
79879443,364
79879448,351
79879453,229
79879458,243
79879463,270
79879468,270
79879473,310
79879478,189
79879483,216
79879488,216
79879492,391
79879497,270
79879502,310
79879507,283
79879512,243
79879517,148
79879522,216
79879527,229
79879532,175
79879537,243
79879542,256
79879547,135
79879551,283
79879556,148
79879561,121
79879566,108
79879571,108
79879576,0
79879581,13
79879586,-67
79879591,-175
79879596,-121
79879603,-319
79879609,-413
79879616,-413
79879621,-494
79879626,-521
79879631,-575
79879636,-643
79879641,-656
79879646,-805
79879651,-899
79879656,-832
79879661,-953
79879666,-994
79879670,-1074
79879675,-1169
79879680,-1102
79879685,-1115
79879690,-1169
79879695,-1264
79879700,-1304
79879705,-1291
79879710,-1331
79879715,-1277
79879720,-1385
79879725,-1399
79879730,-1399
79879734,-1385
79879739,-1439
79879744,-1385
79879749,-1439
79879754,-1453
79879759,-1493
79879764,-1534
79879769,-1507
79879774,-1520
79879779,-1642
79879784,-1547
79879789,-1534
79879794,-1574
79879799,-1547
79879804,-1603
79879809,-1589
79879814,-1535
79879819,-1535
79879824,-1562
79879829,-1697
79879834,-1616
79879839,-1684
79879844,-1684
79879849,-1724
79879854,-1575
79879859,-1630
79879864,-1724
79879869,-1684
79879873,-1738
79879878,-1805
79879883,-1832
79879888,-1724
79879893,-1724
79879898,-1670
79879903,-1386
79879908,-1103
79879913,-914
79879918,-604
79879923,-333
79879928,98
79879933,246
79879938,611
79879943,894
79879948,1205
79879952,1488
79879957,1637
79879962,1826
79879967,2042
79879972,2069
79879977,2231
79879982,2325
79879987,2366
79879991,2366
79879996,2366
79880001,2373
79880006,2400
79880012,2292
79880017,2346
79880022,2373
79880027,2225
79880032,2184
79880037,2144
79880042,2076
79880047,2076
79880052,1995
79880057,1982
79880062,1968
79880067,1887
79880071,1766
79880076,1617
79880081,1712
79880086,1631
79880091,1509
79880096,1482
79880101,1428
79880106,1374
79880111,1361
79880116,1226
79880121,1104
79880126,942
79880131,807
79880135,740
79880140,645
79880145,537
79880150,496
79880155,456
79880160,429
79880165,348
79880170,375
79880175,227
79880180,227
79880185,186
79880190,254
79880195,200
79880200,94
79880205,94
79880210,148
79880215,94
79880220,53
79880225,108
79880230,121
79880235,94
79880240,27
79880245,148
79880250,27
79880254,67
79880259,0
79880264,108
79880269,-175
79880274,-135
79880279,-121
79880284,-161
79880289,-242
79880294,-323
79880299,-256
79880304,-310
79880309,-351
79880313,-445
79880318,-377
79880323,-486
79880328,-553
79880333,-566
79880338,-566
79880343,-715
79880348,-769
79880353,-810
79880358,-796
79880363,-958
