DIFFERENTIAL_TIME,PPW
64838669,4449
64838674,4820
64838679,5231
64838684,5344
64838689,5741
64838694,6151
64838699,6509
64838704,6734
64838709,6933
64838714,7025
64838719,7131
64838724,7092
64838729,7092
64838734,7012
64838739,6972
64838744,7012
64838749,6972
64838754,6774
64838758,6787
64838763,6681
64838768,6575
64838773,6469
64838778,6337
64838783,6231
64838788,6072
64838793,5979
64838798,5926
64838803,5675
64838808,5555
64838813,5476
64838817,5198
64838822,4986
64838827,4682
64838832,4350
64838837,4152
64838842,3847
64838847,3384
64838852,3053
64838857,2722
64838862,2457
64838867,2126
64838872,1768
64838878,1676
64838883,1147
64838888,935
64838893,869
64838897,843
64838902,803
64838907,763
64838912,763
64838917,723
64838922,644
64838927,869
64838932,670
64838937,789
64838942,816
64838947,750
64838952,776
64838956,644
64838961,538
64838966,538
64838971,525
64838976,247
64838981,260
64838986,154
64838991,-44
64838996,-216
64839001,-229
64839006,-401
64839011,-560
64839015,-573
64839020,-746
64839025,-905
64839030,-878
64839035,-1116
64839040,-1262
64839045,-1368
64839050,-1540
64839055,-1659
64839060,-1752
64839065,-1845
64839070,-2096
64839076,-2123
64839081,-2006
64839086,-2006
64839091,-2231
64839095,-2244
64839100,-2284
64839105,-2350
64839110,-2443
64839115,-2496
64839120,-2589
64839125,-2628
64839130,-2655
64839135,-2853
64839140,-2774
64839145,-2840
64839150,-2986
64839155,-3012
64839160,-3052
64839165,-3118
64839170,-3264
64839174,-3092
64839179,-3277
64839184,-3277
64839189,-3383
64839194,-3343
64839199,-3396
64839204,-3396
64839209,-3396
64839214,-3529
64839219,-3330
64839224,-3396
64839229,-3370
64839234,-3436
64839238,-3582
64839243,-3555
64839248,-3568
64839253,-3714
64839258,-3767
64839263,-3793
64839268,-3833
64839273,-3860
64839279,-3851
64839284,-3825
64839289,-3984
64839294,-4077
64839299,-4090
64839304,-4209
64839309,-4077
64839314,-4023
64839318,-4090
64839323,-3984
64839328,-3745
64839333,-3547
64839338,-3083
64839343,-2527
64839348,-1786
64839353,-991
64839358,-11
64839363,1034
64839368,1842
64839373,2610
64839378,3060
64839383,3524
64839388,3947
64839393,4305
64839397,4755
64839402,5126
64839407,5629
64839412,5973
64839417,6437
64839422,6847
64839427,7232
64839432,7682
64839437,7867
64839442,8039
64839447,8264
64839452,8158
64839456,8198
64839461,8291
64839466,8198
64839471,8198
64839477,7547
64839482,7361
64839487,7375
64839492,7216
64839497,7202
64839502,7202
64839507,6977
64839512,6964
64839516,6831
64839521,6805
64839526,6673
64839531,6593
64839536,6434
64839541,6289
64839546,6050
64839551,5944
64839556,5732
64839561,5454
64839566,5203
64839571,4925
64839576,4475
64839581,4011
64839586,3706
64839591,3322
64839595,2938
64839600,2554
64839605,2223
64839610,2011
64839615,1813
64839620,1561
64839625,1416
64839630,1416
64839635,1283
64839640,1270
64839645,1230
64839650,1310
64839655,1257
64839660,1217
64839665,1363
64839670,1191
64839675,1357
64839680,1357
64839685,1278
64839690,1119
64839695,1092
64839700,1039
64839707,867
64839713,735
64839720,695
64839725,576
64839730,443
64839734,351
64839739,245
64839744,165
64839749,-85
64839754,-138
64839759,-258
64839764,-416
64839769,-549
64839774,-840
64839779,-919
64839784,-959
64839789,-1118
64839794,-1317
64839799,-1463
64839804,-1476
64839809,-1635
64839814,-1767
64839818,-1820
64839823,-1913
64839828,-2045
64839833,-2125
64839838,-2323
64839843,-2337
64839848,-2403
64839853,-2562
64839858,-2548
64839863,-2747
64839868,-2813
64839873,-2682
64839878,-2775
64839883,-2815
64839888,-2868
64839893,-2815
64839898,-2855
64839903,-2828
64839908,-2841
64839913,-2934
64839918,-2987
64839923,-3053
64839928,-3080
64839933,-3080
64839938,-3106
64839943,-3053
64839948,-3172
64839953,-3186
64839957,-3371
64839962,-3397
64839967,-3464
64839972,-3543
64839977,-3583
64839982,-3609
64839987,-3675
64839992,-3636
64839997,-3728
64840002,-3768
64840007,-3848
64840012,-3848
64840017,-3914
64840022,-3900
64840027,-4060
64840032,-4126
64840036,-4152
64840041,-4232
64840046,-4271
64840051,-4258
64840056,-4324
64840061,-4324
64840066,-4298
64840071,-4067
64840077,-3895
64840082,-3590
64840087,-3325
64840092,-2743
64840096,-2001
64840101,-1100
64840106,-147
64840111,819
64840116,1600
64840121,2355
64840126,2898
64840131,3229
64840136,3732
64840141,4037
64840146,4487
64840151,4897
64840156,5136
64840161,5692
64840166,6129
64840171,6593
64840175,6950
64840180,7241
64840185,7480
64840190,7771
64840195,7798
64840200,7798
64840205,7943
64840210,7798
64840215,7917
64840220,7771
64840225,7745
64840230,7599
64840235,7559
64840239,7440
64840244,7295
64840249,7255
64840254,6990
64840259,6937
64840264,6844
64840269,6194
64840274,5982
64840280,5916
64840285,5731
64840290,5704
64840295,5506
64840300,5360
64840305,5055
64840310,4936
64840315,4605
64840319,4142
64840324,3797
64840329,3268
64840334,2910
64840339,2539
64840344,2155
64840349,1732
64840354,1440
64840359,1176
64840364,964
64840369,977
64840374,738
64840378,725
64840383,619
64840388,699
64840393,699
64840398,699
64840403,738
64840408,553
64840413,712
64840418,672
64840423,738
64840428,672
64840433,526
64840438,526
64840443,474
64840448,275
64840453,328
64840457,103
64840462,209
64840467,197
64840472,170
64840478,-27
64840483,-54
64840488,-213
64840493,-385
64840498,-504
64840503,-650
64840508,-729
64840513,-875
64840518,-1087
64840523,-1259
64840528,-1259
64840533,-1484
64840537,-1656
64840542,-1775
64840547,-1895
64840552,-1921
64840557,-2186
64840562,-2318
64840567,-2332
64840572,-2438
64840577,-2477
64840582,-2557
64840587,-2663
64840592,-2649
64840596,-2822
64840601,-2848
64840606,-2941
64840611,-3047
64840616,-3047
64840621,-3153
64840626,-3298
64840631,-3285
64840636,-3365
64840641,-3418
64840646,-3524
64840651,-3603
64840656,-3629
64840661,-3603
64840666,-3382
64840671,-3594
64840676,-3528
64840681,-3554
64840686,-3699
64840691,-3699
64840696,-3779
64840701,-3792
64840706,-3885
64840711,-3872
64840716,-3885
64840721,-4031
64840726,-4150
64840731,-4190
64840735,-4256
64840740,-4375
64840745,-4309
64840750,-4295
64840755,-4494
64840760,-4494
64840765,-4468
64840770,-4481
64840775,-4507
64840780,-4428
64840785,-4375
64840790,-3951
64840795,-3766
64840800,-3276
64840805,-2693
64840810,-2044
64840814,-1184
64840819,-283
64840824,484
64840829,1239
64840834,1901
64840839,2285
64840844,2749
64840849,3238
64840854,3636
64840859,4046
64840864,4238
64840869,4662
64840874,5152
64840879,5457
64840884,5880
64840889,6132
64840894,6304
64840899,6489
64840904,6516
64840909,6608
64840914,6556
64840919,6516
64840924,6410
64840929,6330
64840934,6317
64840939,6132
64840944,5986
64840949,5893
64840954,5721
64840958,5589
64840963,5536
64840968,5271
64840973,5271
64840978,5125
64840983,4967
64840988,4768
64840993,4649
64840998,4450
64841003,4251
64841008,4013
64841013,3814
64841018,3364
64841023,2967
64841028,2463
64841033,2159
64841037,1735
64841042,1404
64841047,967
64841052,636
64841058,424
64841063,49
64841068,-56
64841073,-135
64841078,-254
64841083,-214
64841088,-201
64841093,-188
64841097,-122
64841102,-95
64841107,89
64841112,-95
64841117,-56
64841122,-82
64841127,-201
64841132,-254
64841137,-281
64841142,-320
64841147,-453
64841152,-440
64841157,-493
64841162,-546
64841167,-559
64841172,-758
64841176,-758
64841181,-969
64841186,-1062
64841191,-1075
64841196,-1208
64841201,-1367
64841206,-1539
64841211,-1724
64841216,-1896
64841221,-2042
64841226,-2201
64841231,-2320
64841235,-2559
64841240,-2651
64841245,-2718
64841250,-2916
64841256,-2969
64841261,-2732
64841266,-2785
64841271,-2864
64841276,-2997
64841281,-3129
64841286,-3208
64841291,-3275
64841296,-3235
64841301,-3447
64841306,-3579
64841311,-3500
64841315,-3712
64841320,-3765
64841325,-3765
64841330,-3844
64841335,-3884
64841340,-3884
64841345,-3963
64841350,-4003
64841355,-4043
64841360,-4109
64841365,-4135
64841370,-4096
64841374,-4162
64841379,-4241
64841384,-4215
64841389,-4228
64841394,-4308
64841399,-4413
64841404,-4281
64841409,-4321
64841414,-4400
64841419,-4506
64841424,-4546
64841429,-4546
64841434,-4599
64841439,-4599
64841444,-4718
64841449,-4837
64841455,-4917
64841460,-4717
64841465,-4664
64841470,-4757
64841474,-4823
64841479,-4850
64841484,-4717
64841489,-4558
64841494,-4360
64841499,-4015
64841504,-3486
64841509,-2850
64841514,-2214
64841519,-1301
64841524,-228
64841529,645
64841534,1480
64841538,2195
64841543,2711
64841548,3108
64841553,3519
64841558,3890
64841563,4287
64841568,4764
64841573,5241
64841578,5678
64841583,6194
64841588,6512
64841593,6869
64841597,7134
64841602,7359
64841607,7452
64841612,7598
64841617,7571
64841622,7664
64841627,7598
64841632,7651
64841637,7545
64841642,7571
64841647,7399
64841652,7452
64841658,6733
64841663,6666
64841668,6481
64841673,6401
64841677,6243
64841682,6189
64841687,6044
64841692,5951
64841697,5819
64841702,5633
64841707,5607
64841712,5448
64841717,5276
64841722,5051
64841727,4852
64841732,4521
64841736,4256
64841741,3806
64841746,3501
64841751,3038
64841756,2707
64841761,2323
64841766,1965
64841771,1634
64841776,1383
64841781,1144
64841786,1012
64841791,787
64841796,839
64841801,734
64841806,760
64841811,628
64841815,641
64841820,707
64841825,641
64841830,787
64841835,787
64841840,681
64841845,707
64841850,641
64841856,267
64841861,240
64841866,227
64841871,148
64841875,94
64841880,-156
64841885,-262
64841890,-342
64841895,-501
64841900,-633
64841905,-845
64841910,-951
64841915,-1070
64841920,-1216
64841925,-1388
64841930,-1494
64841935,-1692
64841940,-1772
64841945,-1917
64841950,-2023
64841954,-2248
64841959,-2288
64841965,-2500
64841971,-2606
64841978,-2752
64841984,-3017
64841989,-3003
64841994,-3136
64841999,-3215
64842004,-3321
64842009,-3387
64842014,-3586
64842019,-3652
64842024,-3718
64842029,-3851
64842034,-3917
64842038,-4023
64842043,-4076
64842048,-4182
64842053,-3717
64842059,-3796
64842064,-3704
64842069,-3810
64842074,-3862
