DIFFERENTIAL_TIME,PPW
808937,262
808942,184
808947,118
808952,-13
808957,-118
808962,-131
808967,-131
808972,-223
808977,-328
808982,-342
808987,-539
808992,-552
808997,-565
809002,-411
809007,-437
809012,-411
809017,-476
809022,-542
809027,-582
809032,-608
809037,-608
809042,-726
809047,-726
809052,-792
809057,-805
809062,-884
809066,-937
809071,-911
809076,-976
809081,-1068
809086,-1055
809091,-1029
809096,-1134
809101,-1200
809106,-1305
809111,-1331
809116,-1331
809121,-1397
809126,-1450
809131,-1516
809136,-1503
809141,-1542
809145,-1555
809150,-1555
809155,-1687
809160,-1661
809165,-1661
809170,-1608
809175,-1740
809180,-1634
809185,-1740
809190,-1831
809195,-1779
809200,-1743
809205,-1730
809210,-1743
809215,-1756
809220,-1941
809225,-1915
809230,-2046
809235,-2033
809240,-2165
809245,-2283
809250,-2335
809255,-2375
809260,-2441
809265,-2533
809270,-2506
809275,-2546
809280,-2585
809284,-2651
809289,-2704
809294,-2796
809299,-2756
809304,-2796
809309,-2914
809314,-2941
809319,-2835
809324,-2822
809328,-2664
809333,-2348
809338,-2019
809343,-1546
809348,-901
809353,-270
809358,414
809363,1045
809368,1755
809373,2308
809378,2966
809383,3545
809387,3795
809392,4282
809397,4496
809402,4615
809408,4812
809413,5009
809418,5049
809423,5246
809428,5207
809433,5233
809438,5167
809443,5141
809448,5115
809453,5022
809458,4904
809463,4865
809467,4799
809472,4694
809477,4615
809482,4601
809487,4470
809492,4457
809497,4483
809502,4378
809507,4391
809512,4365
809517,4404
809522,4325
809526,4325
809531,4325
809536,4325
809541,4312
809546,4365
809551,4338
809556,4351
809561,4272
809566,4128
809571,4101
809576,3970
809581,3878
809585,3720
809590,3536
809595,3046
809600,2875
809606,2757
809611,2520
809616,2296
809621,2309
809626,2191
809631,2086
809636,2007
809641,1954
809645,1875
809650,1783
809655,1678
809660,1691
809665,1757
809670,1639
809675,1744
809680,1639
809685,1704
809690,1612
809695,1652
809700,1573
809705,1612
809710,1454
809715,1415
809720,1362
809725,1336
809730,1270
809735,1244
809740,1073
809744,1099
809749,994
809754,954
809759,889
809764,796
809769,691
809774,731
809779,573
809783,468
809788,336
809793,33
809798,7
809804,-18
809809,-163
809814,-216
809819,-387
809824,-387
809829,-426
809834,-531
809839,-663
809844,-755
809848,-821
809853,-953
809858,-1044
809863,-966
809868,-1058
809873,-1150
809878,-1123
809883,-1137
809888,-1176
809893,-1400
809898,-1347
809903,-1242
809907,-1400
809912,-1426
809917,-1426
809922,-1479
809927,-1544
809932,-1479
809937,-1571
809942,-1584
809947,-1597
809952,-1689
809957,-1808
809962,-1781
809967,-1794
809972,-1860
809977,-1952
809982,-1992
809987,-2031
809992,-1798
809997,-1692
810002,-1771
810007,-1850
810012,-1837
810017,-1942
810022,-1903
810027,-1877
810032,-1903
810037,-2008
810042,-1916
810046,-1969
810051,-2035
810056,-1982
810061,-2061
810066,-2035
810071,-2153
810076,-2140
810081,-2219
810086,-2324
810091,-2284
810096,-2350
810101,-2508
810105,-2482
810110,-2521
810115,-2613
810120,-2745
810125,-2837
810130,-2798
810135,-2969
810140,-2995
810145,-3087
810150,-3087
810155,-3219
810160,-3192
810164,-3258
810169,-3179
810174,-3324
810179,-3298
810185,-3298
810190,-2988
810195,-2883
810200,-2686
810205,-2383
810210,-1949
810215,-1528
810220,-857
810224,-331
810229,353
810234,1024
810239,1589
810244,2366
810249,2852
810254,3405
810259,3892
810264,4195
810269,4510
810274,4681
810279,4879
810283,4945
810288,5076
810293,5181
810298,5155
810303,5208
810308,5194
810313,5155
810318,5023
810323,5036
810328,5010
810333,5010
810338,5010
810343,4892
810348,4852
810353,4879
810358,4760
810363,4681
810367,4642
810372,4681
810377,4734
810382,4616
810388,4201
810393,4306
810398,4267
810403,4227
810408,4267
810413,4214
810418,4254
810423,4227
810427,4162
810432,4122
810437,4030
810442,3885
810447,3701
810452,3675
810457,3490
810462,3267
810467,3149
810472,3043
810477,2754
810482,2649
810487,2464
810492,2451
810497,2346
810502,2175
810506,2188
810511,2175
810516,2070
810521,2017
810526,2017
810531,2135
810536,2017
810541,2030
810546,2096
810550,2017
810555,2043
810560,1991
810565,2043
810570,1951
810575,1991
810580,1991
810586,1638
810591,1559
810596,1441
810601,1414
810606,1309
810611,1230
810616,1191
810621,1086
810625,1059
