DIFFERENTIAL_TIME,PPW
577131,-868
577136,-933
577141,-973
577146,-815
577151,-946
577156,-973
577161,-1105
577166,-946
577171,-1025
577176,-1052
577181,-1025
577186,-1012
577191,-1091
577196,-1118
577202,-1064
577207,-1077
577212,-1196
577217,-1196
577221,-1196
577226,-1143
577231,-1209
577236,-1196
577241,-1301
577246,-1236
577251,-1328
577256,-1275
577261,-1288
577266,-1341
577271,-1367
577276,-1301
577281,-1446
577286,-1486
577291,-1446
577296,-1433
577300,-1446
577305,-1538
577310,-1591
577315,-1512
577320,-1486
577325,-1538
577330,-1631
577335,-1538
577340,-1552
577345,-1683
577350,-1631
577355,-1670
577360,-1631
577365,-1578
577370,-1604
577375,-1525
577379,-1420
577384,-1420
577389,-1288
577394,-1170
577400,-931
577405,-905
577410,-747
577415,-549
577420,-444
577425,-352
577430,-246
577435,-101
577440,-88
577445,-22
577450,82
577455,109
577459,161
577464,135
577469,43
577474,56
577479,148
577484,161
577489,175
577494,135
577499,43
577504,82
577509,122
577514,43
577519,3
577524,69
577529,-114
577534,-128
577538,-141
577543,-75
577548,-62
577553,-141
577558,-128
577563,-207
577568,-233
577573,-259
577578,-365
577583,-536
577588,-470
577593,-575
577599,-640
577604,-693
577609,-719
577614,-772
577618,-824
577623,-930
577628,-877
577633,-772
577638,-864
577643,-904
577648,-838
577653,-811
577658,-877
577663,-877
577668,-851
577673,-824
577678,-811
577683,-785
577688,-838
577693,-798
577697,-745
577702,-798
577707,-851
577712,-838
577717,-851
577722,-811
577727,-877
577732,-824
577737,-904
577742,-904
577747,-996
577752,-877
577757,-930
577761,-1088
577766,-996
577771,-983
577776,-996
577781,-1035
577786,-969
577791,-1048
577796,-914
577802,-928
577807,-954
577812,-1020
577817,-1046
577822,-1086
577827,-1165
577832,-1152
577837,-1099
577841,-1178
577846,-1178
577851,-1165
577856,-1191
577861,-1297
577866,-1204
577871,-1284
577876,-1217
577881,-1284
577886,-1323
577891,-1362
577896,-1284
577901,-1415
577906,-1415
577911,-1586
577915,-1520
577920,-1547
577926,-1534
577932,-1586
577939,-1507
577945,-1534
577950,-1573
577955,-1468
577960,-1507
577965,-1376
577970,-1349
577975,-1323
577980,-1165
577985,-1073
577990,-928
577995,-671
578000,-487
578005,-421
578010,-224
578015,-184
578020,-65
578025,26
578030,92
578035,171
578040,223
578045,289
578050,355
578055,355
578060,368
578065,381
578070,355
578075,355
578079,381
578084,395
578089,408
578094,381
578099,342
578104,276
578109,237
578114,184
578119,263
578124,131
578129,105
578134,26
578139,26
578144,-26
578149,26
578154,52
578158,-26
578163,-13
578168,-105
578173,-250
578178,-171
578183,-263
578188,-355
578193,-483
578199,-377
578204,-496
578209,-351
578214,-417
578219,-562
578224,-456
578229,-509
578234,-575
578238,-588
578243,-535
578248,-548
578253,-548
578258,-483
578263,-654
578268,-535
578273,-614
578278,-548
578283,-588
578288,-535
578293,-548
578298,-509
578303,-443
578308,-575
578313,-588
578318,-575
578322,-469
578327,-614
578332,-614
578337,-667
578342,-640
578347,-667
578352,-706
578357,-706
578362,-759
578367,-851
578372,-706
578377,-785
578382,-799
578387,-838
578392,-702
578397,-754
578402,-728
578407,-768
578412,-794
578417,-741
578422,-754
578427,-820
578432,-860
578437,-833
578442,-926
578447,-978
578452,-965
578457,-886
578462,-899
578467,-1005
578472,-965
578477,-1071
578481,-992
578486,-1110
578491,-992
578496,-1110
578501,-1084
578506,-1176
578511,-1110
578516,-1097
578521,-1189
578526,-1176
578531,-1149
578536,-1281
578541,-1189
578546,-1110
578551,-1110
578556,-1110
578560,-1057
578565,-926
578570,-781
578575,-728
578580,-543
578585,-372
578590,-201
578595,-44
578601,166
578606,180
578611,351
578616,417
578621,588
578626,548
578631,680
578636,785
578640,719
578645,812
578650,785
578655,838
578660,944
578665,891
578670,1075
578675,917
578680,957
578685,851
578690,864
578695,864
578699,930
578704,719
578709,733
578714,759
578719,693
578724,680
578729,706
578734,693
578739,693
578744,680
578749,575
578754,588
578759,548
578764,443
578769,417
578774,509
578778,404
578783,338
578788,352
578793,273
578799,273
578804,128
578809,259
578814,207
578819,128
578824,49
578829,194
578834,36
578839,75
578844,-3
578849,-3
578854,75
578858,62
578863,-3
578868,23
578873,115
578878,49
578883,88
578888,9
578893,115
578898,88
578903,62
578908,-16
578913,-3
578918,23
578923,23
578928,49
578933,-82
578937,-42
578942,-108
578947,-148
578952,-148
578957,-108
578962,-174
578967,-201
578972,-227
578977,-161
578982,-214
578987,-131
578992,-144
578998,-157
579003,-249
579008,-249
579013,-223
579017,-328
579022,-354
579027,-354
579032,-289
579037,-420
579042,-473
579047,-381
579052,-446
579057,-552
579062,-486
579067,-446
579072,-526
579077,-446
579082,-565
579087,-499
579092,-539
579097,-539
579102,-657
579107,-657
579112,-591
579117,-657
579121,-657
579126,-829
579131,-723
579136,-644
579141,-816
579146,-776
579151,-776
579156,-644
579161,-618
579166,-631
579171,-539
579176,-420
579182,-328
579187,-129
579192,28
579197,172
579201,278
579206,423
579211,528
579216,634
579221,739
579226,818
579231,950
579236,897
579241,1002
579246,1068
579251,1147
579256,1108
579260,1068
579265,1174
579270,1121
579275,1121
579280,1108
579285,1108
579290,1068
579295,1174
579300,1015
579305,1081
579310,1029
579315,858
579320,989
579325,936
579330,936
579335,884
579339,818
579344,805
579349,726
579354,660
579359,647
579364,647
579369,515
579374,502
579380,515
579385,349
579390,296
579395,349
579400,86
579405,178
579410,112
579415,86
579419,-71
579424,73
579429,-98
579434,-71
