DIFFERENTIAL_TIME,PPW
258694,3764
258699,3764
258704,3642
258709,3548
258714,3440
258719,3467
258724,3494
258729,3534
258734,3521
258739,3440
258744,3399
258749,3386
258754,3237
258760,3108
258765,3108
258770,2919
258775,2851
258779,2594
258784,2486
258789,2405
258794,2283
258799,2148
258804,2040
258809,1838
258814,1811
258819,1743
258824,1554
258829,1392
258834,1311
258839,1081
258844,1000
258849,878
258854,716
258859,540
258864,405
258869,243
258874,81
258879,-107
258884,-229
258889,-242
258894,-431
258899,-553
258903,-729
258908,-715
258913,-769
258918,-986
258923,-931
258928,-1053
258933,-1161
258938,-1188
258943,-1323
258948,-1391
258953,-1634
258958,-1668
258964,-1749
258969,-1979
258974,-1952
258979,-2168
258984,-2303
258989,-2263
258994,-2398
258999,-2412
259003,-2466
259008,-2560
259013,-2466
259018,-2546
259023,-2520
259028,-2628
259033,-2655
259038,-2709
259043,-2749
259048,-2736
259053,-2830
259058,-2898
259063,-3033
259068,-3195
259073,-3290
259078,-3290
259083,-3398
259088,-3533
259093,-3695
259098,-3763
259103,-3844
259108,-4060
259113,-4101
259118,-4263
259122,-4533
259127,-4479
259132,-4803
259137,-4952
259142,-5276
259147,-5195
259152,-5303
259157,-5466
259163,-5547
259168,-5668
259173,-5749
259178,-5804
259183,-5776
259188,-5898
259193,-5898
259198,-5695
259203,-5547
259208,-5236
259213,-4628
259218,-3912
259223,-2938
259228,-1844
259233,-560
259238,790
259242,2115
259247,3196
259252,4210
259257,4885
259262,5480
259267,5899
259272,6169
259277,6304
259282,6372
259287,6588
259292,6655
259297,6804
259302,6872
259307,6804
259312,6804
259317,6804
259321,6750
259326,6777
259331,6818
259336,6831
259341,6804
259346,6683
259351,6777
259356,6662
259362,6648
259367,6594
259372,6608
259377,6567
259382,6500
259387,6554
259392,6500
259397,6621
259402,6581
259407,6581
259412,6581
259417,6486
259422,6513
259427,6486
259432,6364
259437,6351
259441,6135
259446,5973
259451,5783
259456,5500
259461,5121
259466,4810
259471,4635
259476,4256
259481,4040
259486,3810
259491,3554
259496,3500
259501,3175
259506,3081
259511,2986
259516,2905
259521,2878
259526,2743
259531,2716
259536,2824
259540,2621
259545,2540
259550,2608
259555,2476
259561,2530
259566,2408
259571,2368
259576,2314
259581,2246
259586,2178
259591,1976
259596,1976
259601,1840
259606,1611
259611,1543
259616,1368
259621,1205
259626,1057
259631,868
259636,773
259641,584
259646,489
259651,232
259656,124
259660,-145
259665,-199
259670,-307
259675,-483
259680,-726
259685,-834
259690,-956
259695,-1037
259700,-1105
259705,-1226
259710,-1375
259715,-1456
259720,-1645
259725,-1780
259730,-1713
259735,-1969
259740,-2010
259745,-2037
259750,-2199
259755,-2392
259760,-2486
259765,-2527
259770,-2703
259775,-2824
259780,-2824
259785,-2905
259790,-2946
259795,-2986
259800,-3162
259805,-3135
259810,-3338
259815,-3351
259820,-3419
259825,-3540
259830,-3594
259835,-3676
259840,-3784
259845,-3851
259850,-3865
259855,-4014
259860,-4014
259865,-4095
259870,-4149
259875,-4243
259879,-4338
259884,-4379
259889,-4514
259894,-4433
259899,-4595
259904,-4689
259909,-4851
259914,-4838
259919,-5014
259924,-5149
259929,-5257
259934,-5338
259939,-5487
259944,-5595
259949,-5743
259954,-5954
259959,-5994
259965,-6116
259970,-6305
259975,-6494
259980,-6589
259984,-6724
259989,-6778
259994,-6967
259999,-6981
260004,-7075
260009,-7075
260014,-7318
260019,-7292
260024,-7183
260029,-7197
260034,-7021
260039,-6616
260044,-6008
260049,-5183
260054,-4305
260059,-3197
260064,-1899
260069,-548
260074,762
260079,1951
260084,3005
260089,3843
260094,4411
260099,4843
260103,5100
260108,5303
260113,5397
260118,5492
