DIFFERENTIAL_TIME,PPW
65132066,1996
65132071,1863
65132076,1876
65132081,1784
65132086,1700
65132091,1594
65132096,1514
65132101,1461
65132106,1488
65132111,1355
65132116,1263
65132121,1090
65132126,1156
65132131,997
65132136,905
65132141,693
65132146,600
65132151,547
65132156,374
65132161,295
65132166,202
65132171,136
65132175,110
65132180,17
65132185,57
65132190,-49
65132195,-49
65132200,70
65132205,57
65132210,70
65132215,4
65132220,136
65132225,57
65132230,30
65132234,57
65132239,-22
65132244,-22
65132249,-35
65132254,-35
65132259,-49
65132264,-35
65132269,-49
65132274,-75
65132279,-115
65132284,-51
65132289,-51
65132295,-104
65132300,-157
65132305,-223
65132310,-289
65132314,-289
65132319,-382
65132324,-462
65132329,-515
65132334,-608
65132339,-634
65132344,-714
65132349,-780
65132354,-780
65132359,-873
65132364,-899
65132369,-992
65132374,-1084
65132379,-1032
65132384,-1138
65132389,-1190
65132394,-1164
65132398,-1310
65132403,-1363
65132408,-1376
65132413,-1403
65132418,-1456
65132423,-1376
65132428,-1495
65132433,-1522
65132438,-1562
65132443,-1548
65132448,-1575
65132453,-1575
65132457,-1614
65132462,-1628
65132467,-1707
65132472,-1601
65132478,-1681
65132483,-1529
65132488,-1596
65132493,-1543
65132498,-1742
65132503,-1728
65132508,-1742
65132513,-1874
65132518,-1755
65132523,-1834
65132528,-1821
65132533,-1874
65132537,-1887
65132542,-1847
65132547,-2006
65132552,-1980
65132557,-1993
65132562,-1993
65132567,-2046
65132572,-2073
65132577,-2006
65132582,-2126
65132587,-2020
65132592,-2139
65132596,-2139
65132601,-2086
65132606,-1887
65132611,-1834
65132616,-1622
65132621,-1450
65132626,-1211
65132631,-920
65132636,-602
65132641,-125
65132646,192
65132651,537
65132656,868
65132661,1067
65132666,1345
65132671,1531
65132676,1756
65132681,1997
65132686,1997
65132691,2010
65132696,2130
65132701,2156
65132706,2169
65132711,2249
65132716,2223
65132721,2169
65132726,2262
65132731,2169
65132735,2169
65132740,2130
65132745,2037
65132750,2024
65132755,2024
65132760,1918
65132765,1931
65132770,1918
65132775,1825
65132780,1785
65132785,1758
65132790,1653
65132795,1626
65132800,1653
65132805,1560
65132810,1467
65132814,1388
65132819,1388
65132824,1268
65132829,1056
65132834,977
65132839,844
65132844,699
65132849,486
65132854,407
65132859,314
65132864,208
65132869,76
65132875,23
65132880,17
65132885,-75
65132890,-88
65132894,-181
65132899,-102
65132904,-141
65132909,-62
65132914,-75
65132919,-75
65132924,-75
65132929,-62
65132934,-9
65132939,-62
65132944,17
65132949,70
65132954,-88
65132958,-115
65132963,17
65132968,-115
65132973,-181
65132978,-194
65132983,-221
65132988,-194
65132993,-300
65132998,-247
65133003,-380
65133008,-380
65133013,-419
65133018,-592
65133023,-711
65133028,-685
65133033,-777
65133037,-844
65133042,-883
65133047,-910
65133052,-936
65133057,-1095
65133062,-1122
65133067,-1122
65133072,-1149
65133078,-1074
65133083,-1034
65133088,-1193
65133093,-1260
65133097,-1313
65133102,-1273
65133107,-1419
65133112,-1392
65133117,-1458
65133122,-1604
65133127,-1617
65133132,-1604
65133137,-1591
65133142,-1763
65133147,-1803
65133152,-1710
65133157,-1776
65133162,-1816
65133167,-1829
65133172,-1856
65133176,-1816
65133181,-1803
65133186,-1896
65133191,-1763
65133196,-1869
65133201,-1869
65133206,-1856
65133211,-1869
65133216,-1869
65133221,-2002
65133226,-1962
65133231,-1975
65133235,-2041
65133240,-2002
65133245,-2041
65133250,-2095
65133255,-2068
65133260,-2121
65133265,-2134
65133270,-2081
65133276,-2045
65133281,-2112
65133286,-2032
65133291,-2085
65133296,-2125
65133301,-2151
65133306,-2244
65133311,-2297
65133315,-2297
65133320,-2257
65133325,-2165
65133330,-2191
65133335,-2085
65133340,-1847
65133345,-1661
65133350,-1369
65133355,-1025
65133360,-707
65133365,-349
65133370,154
65133375,485
65133379,816
65133384,1108
65133389,1333
65133394,1598
65133399,1850
65133404,1956
65133409,2141
65133414,2247
65133419,2327
65133424,2512
65133429,2433
65133434,2433
65133439,2459
65133444,2539
65133449,2446
65133454,2486
65133458,2327
65133463,2419
65133468,2353
65133473,2189
65133479,2203
65133484,2189
65133489,2057
65133494,2083
65133499,2083
65133504,2057
65133509,1938
65133514,1938
65133518,1898
65133523,1911
65133528,1765
